Address,Distance_MRT,Distance_Mall,Within_1km_of_Pri,Town,Flat_Type_Area_Map
639 ROWELL RD,398,739,FALSE,CENTRAL AREA,"{3: 106, 4: 139}"
535 CHOA CHU KANG ST 51,993,942,TRUE,CHOA CHU KANG,"{1: 46, 2: 69}"
288 CHOA CHU KANG AVE 3,1050,1015,TRUE,CHOA CHU KANG,{3: 105}
464 CHOA CHU KANG AVE 4,1526,1533,TRUE,CHOA CHU KANG,"{3: 104, 4: 123}"
675 CHOA CHU KANG CRES,703,800,TRUE,CHOA CHU KANG,"{3: 104, 4: 124}"
205 CHOA CHU KANG CTRL,941,767,TRUE,CHOA CHU KANG,"{3: 104, 4: 122}"
58 CIRCUIT RD,677,1551,TRUE,GEYLANG,{2: 56}
469 CHOA CHU KANG AVE 3,1345,1377,TRUE,CHOA CHU KANG,"{3: 100, 4: 121}"
761 CHOA CHU KANG NTH 5,614,612,TRUE,CHOA CHU KANG,"{3: 108, 4: 127}"
762 CHOA CHU KANG NTH 5,730,728,TRUE,CHOA CHU KANG,"{3: 105, 4: 120}"
769 CHOA CHU KANG ST 54,771,800,TRUE,CHOA CHU KANG,"{3: 104, 4: 121}"
431 CHOA CHU KANG AVE 4,420,466,TRUE,CHOA CHU KANG,"{3: 104, 4: 131}"
610 CHOA CHU KANG ST 62,551,571,TRUE,CHOA CHU KANG,"{3: 108, 4: 133}"
616 CHOA CHU KANG ST 62,485,505,TRUE,CHOA CHU KANG,"{3: 108, 4: 129}"
14 TECK WHYE LANE,795,952,FALSE,CHOA CHU KANG,{4: 119}
485D CHOA CHU KANG AVE 5,1700,1665,TRUE,CHOA CHU KANG,"{3: 101, 4: 116}"
354 CHOA CHU KANG CTRL,452,417,TRUE,CHOA CHU KANG,"{3: 105, 4: 124}"
503 CHOA CHU KANG ST 51,695,888,TRUE,CHOA CHU KANG,{4: 127}
671A CHOA CHU KANG CRES,642,778,TRUE,CHOA CHU KANG,"{4: 124, 5: 141}"
417 CHOA CHU KANG AVE 4,516,562,TRUE,CHOA CHU KANG,"{3: 105, 4: 126}"
560 CHOA CHU KANG NTH 6,452,314,TRUE,CHOA CHU KANG,{5: 147}
292 CHOA CHU KANG AVE 3,1180,1145,TRUE,CHOA CHU KANG,{5: 146}
367 CLEMENTI AVE 2,1018,1086,FALSE,CLEMENTI,{2: 61}
429 CLEMENTI AVE 3,426,357,TRUE,CLEMENTI,"{2: 72, 3: 91}"
318 CLEMENTI AVE 4,473,538,TRUE,CLEMENTI,{3: 91}
201 CLEMENTI AVE 6,665,729,TRUE,CLEMENTI,{5: 150}
32 BALAM RD,643,1868,FALSE,GEYLANG,"{1: 46, 2: 58}"
17 EUNOS CRES,576,1727,TRUE,GEYLANG,{2: 60}
54 CASSIA CRES,627,1429,TRUE,GEYLANG,"{2: 69, 3: 96}"
42 CASSIA CRES,554,1140,TRUE,GEYLANG,"{2: 68, 3: 93}"
35 CIRCUIT RD,623,1878,FALSE,GEYLANG,"{2: 66, 3: 83}"
346 UBI AVE 1,633,2193,TRUE,GEYLANG,{3: 91}
327 UBI AVE 1,758,2169,TRUE,GEYLANG,{3: 91}
44 SIMS DR,812,2290,TRUE,GEYLANG,{3: 88}
323 UBI AVE 1,753,2331,TRUE,GEYLANG,{3: 89}
31 BALAM RD,719,2001,FALSE,GEYLANG,"{2: 68, 3: 95}"
105 ALJUNIED CRES,567,1509,TRUE,GEYLANG,"{3: 99, 4: 122}"
126 GEYLANG EAST AVE 1,632,904,TRUE,GEYLANG,"{2: 78, 3: 107}"
322 UBI AVE 1,828,2366,TRUE,GEYLANG,"{3: 84, 4: 122}"
126 ALJUNIED RD,800,2000,TRUE,GEYLANG,{4: 121}
6 HAIG RD,961,602,TRUE,GEYLANG,{4: 117}
62 DAKOTA CRES,129,1297,TRUE,GEYLANG,"{3: 107, 4: 139}"
334 UBI AVE 1,778,2044,TRUE,GEYLANG,{5: 147}
632 HOUGANG AVE 8,1752,976,TRUE,HOUGANG,"{2: 64, 3: 86}"
7 HOUGANG AVE 3,1268,1224,TRUE,HOUGANG,{2: 63}
658 HOUGANG AVE 8,1507,566,TRUE,HOUGANG,"{2: 74, 3: 104}"
23 HOUGANG AVE 3,917,1062,TRUE,HOUGANG,"{2: 73, 3: 98, 5: 174}"
689 HOUGANG ST 61,1549,908,TRUE,HOUGANG,"{2: 74, 3: 104}"
662 HOUGANG AVE 4,1485,466,TRUE,HOUGANG,"{2: 74, 3: 103}"
627 HOUGANG AVE 8,1549,1185,TRUE,HOUGANG,"{3: 84, 4: 122}"
636 HOUGANG AVE 8,1788,750,TRUE,HOUGANG,{3: 86}
970 HOUGANG ST 91,1766,433,TRUE,HOUGANG,"{3: 101, 4: 120}"
510 HOUGANG AVE 10,816,797,TRUE,HOUGANG,{3: 92}
981B BUANGKOK CRES,1891,838,TRUE,HOUGANG,"{3: 90, 4: 110}"
516 HOUGANG AVE 10,730,691,TRUE,HOUGANG,{3: 91}
18 HOUGANG AVE 3,1196,1238,TRUE,HOUGANG,{3: 92}
540 HOUGANG AVE 8,848,939,TRUE,HOUGANG,"{3: 104, 4: 121}"
831 HOUGANG CTRL,458,665,TRUE,HOUGANG,"{3: 108, 4: 122}"
453 HOUGANG AVE 10,943,844,TRUE,HOUGANG,{3: 105}
170 HOUGANG AVE 1,1616,1414,TRUE,HOUGANG,"{3: 101, 4: 121}"
405 HOUGANG AVE 10,1045,414,TRUE,HOUGANG,{3: 94}
370 HOUGANG ST 31,1027,1059,TRUE,HOUGANG,{3: 101}
320 HOUGANG AVE 5,1063,1100,TRUE,HOUGANG,"{3: 102, 4: 123}"
985B BUANGKOK CRES,1992,968,TRUE,HOUGANG,{4: 110}
913 HOUGANG ST 91,1442,725,TRUE,HOUGANG,"{3: 100, 4: 120}"
979B BUANGKOK CRES,1865,654,TRUE,HOUGANG,"{3: 90, 4: 110}"
964 HOUGANG AVE 9,2297,393,TRUE,HOUGANG,"{3: 100, 4: 121}"
576 HOUGANG AVE 4,1232,1057,TRUE,HOUGANG,"{3: 100, 4: 120}"
521 HOUGANG AVE 6,514,447,TRUE,HOUGANG,"{3: 89, 4: 121}"
129 LOR AH SOO,1521,1371,TRUE,HOUGANG,"{2: 74, 3: 105, 4: 134}"
122 HOUGANG AVE 1,1135,973,TRUE,HOUGANG,"{2: 70, 3: 95, 4: 137}"
312 HOUGANG AVE 5,888,1202,TRUE,HOUGANG,{4: 135}
853 HOUGANG CTRL,364,968,TRUE,HOUGANG,{5: 138}
215A JURONG EAST ST 21,860,1028,FALSE,JURONG EAST,"{2: 70, 3: 93}"
208 JURONG EAST ST 21,763,600,FALSE,JURONG EAST,"{2: 67, 3: 96}"
20 TEBAN GDNS RD,2728,2707,FALSE,JURONG EAST,"{2: 72, 3: 92}"
340 JURONG EAST AVE 1,1091,2987,FALSE,JURONG EAST,{4: 142}
288D JURONG EAST ST 21,972,817,FALSE,JURONG EAST,"{3: 103, 4: 123}"
286D TOH GUAN RD,987,807,FALSE,JURONG EAST,"{3: 103, 4: 123}"
327 JURONG EAST ST 31,1055,3243,TRUE,JURONG EAST,{5: 147}
323 JURONG EAST ST 31,1015,2626,TRUE,JURONG EAST,{5: 147}
287B JURONG EAST ST 21,837,692,FALSE,JURONG EAST,"{4: 121, 5: 143}"
114 HO CHING RD,1567,2815,TRUE,JURONG WEST,{2: 68}
473 JURONG WEST ST 41,1014,2655,TRUE,JURONG WEST,"{2: 68, 3: 93}"
536 JURONG WEST ST 52,1034,2149,TRUE,JURONG WEST,"{2: 67, 3: 94}"
414 JURONG WEST ST 42,1749,3878,TRUE,JURONG WEST,{3: 104}
944 JURONG WEST ST 91,1325,2458,FALSE,JURONG WEST,"{3: 105, 4: 129}"
922 JURONG WEST ST 92,1189,2464,FALSE,JURONG WEST,"{3: 106, 4: 122}"
717 JURONG WEST ST 71,885,1497,TRUE,JURONG WEST,{3: 105}
923 JURONG WEST ST 92,1119,2394,FALSE,JURONG WEST,"{3: 105, 4: 123}"
977 JURONG WEST ST 93,606,1845,TRUE,JURONG WEST,"{3: 104, 4: 121}"
554 JURONG WEST ST 42,1428,2449,TRUE,JURONG WEST,{3: 104}
465 JURONG WEST ST 41,1172,2814,TRUE,JURONG WEST,{3: 91}
546 JURONG WEST ST 42,1414,2296,TRUE,JURONG WEST,{3: 103}
642 JURONG WEST ST 61,503,1526,TRUE,JURONG WEST,"{3: 100, 4: 121}"
350 CORPORATION DR,944,2044,TRUE,JURONG WEST,"{3: 102, 4: 122}"
691 JURONG WEST CTRL 1,522,329,TRUE,JURONG WEST,"{3: 99, 4: 119}"
913 JURONG WEST ST 91,1445,2606,FALSE,JURONG WEST,"{3: 104, 4: 124}"
272B JURONG WEST ST 24,1754,1562,TRUE,JURONG WEST,{4: 112}
849 JURONG WEST ST 81,1298,2288,TRUE,JURONG WEST,{4: 128}
675A JURONG WEST ST 64,1004,980,TRUE,JURONG WEST,"{3: 91, 4: 110}"
667C JURONG WEST ST 65,699,741,TRUE,JURONG WEST,"{3: 90, 4: 110}"
986A JURONG WEST ST 93,297,1666,TRUE,JURONG WEST,"{3: 93, 4: 110}"
987B JURONG WEST ST 93,392,1761,TRUE,JURONG WEST,"{3: 94, 4: 112}"
989A JURONG WEST ST 93,439,1808,TRUE,JURONG WEST,"{3: 93, 4: 112}"
529 JURONG WEST ST 52,947,2004,TRUE,JURONG WEST,{4: 118}
682B JURONG WEST CTRL 1,929,769,TRUE,JURONG WEST,{4: 115}
405 JURONG WEST ST 42,1829,3021,TRUE,JURONG WEST,{5: 152}
859 JURONG WEST ST 81,1696,1972,TRUE,JURONG WEST,{5: 144}
331 TAH CHING RD,991,2621,TRUE,JURONG WEST,{5: 140}
669D JURONG WEST ST 64,789,832,TRUE,JURONG WEST,{5: 130}
334 KANG CHING RD,818,2518,TRUE,JURONG WEST,{5: 140}
82 WHAMPOA DR,1091,1894,TRUE,KALLANG/WHAMPOA,{2: 68}
97 WHAMPOA DR,1098,1483,TRUE,KALLANG/WHAMPOA,{2: 68}
2 ST. GEORGE'S RD,573,1901,TRUE,KALLANG/WHAMPOA,"{2: 61, 4: 118}"
14 ST. GEORGE'S RD,565,1718,TRUE,KALLANG/WHAMPOA,"{2: 70, 3: 93, 4: 134}"
38B BENDEMEER RD,868,1735,TRUE,KALLANG/WHAMPOA,"{2: 69, 3: 90}"
467 NTH BRIDGE RD,407,735,FALSE,KALLANG/WHAMPOA,{2: 63}
806 KING GEORGE'S AVE,240,379,TRUE,KALLANG/WHAMPOA,"{2: 63, 4: 127}"
26 BENDEMEER RD,261,1235,TRUE,KALLANG/WHAMPOA,"{2: 71, 3: 83}"
28 BENDEMEER RD,263,1239,TRUE,KALLANG/WHAMPOA,"{2: 71, 3: 83}"
23 ST. GEORGE'S RD,748,1544,TRUE,KALLANG/WHAMPOA,"{2: 85, 3: 93}"
15 UPP BOON KENG RD,705,1737,TRUE,KALLANG/WHAMPOA,{3: 88}
15 FARRER PK RD,606,850,FALSE,KALLANG/WHAMPOA,"{2: 62, 3: 76}"
114 WHAMPOA RD,1022,2379,TRUE,KALLANG/WHAMPOA,"{3: 108, 4: 132}"
38 CAMBRIDGE RD,1141,976,FALSE,KALLANG/WHAMPOA,"{3: 101, 4: 120}"
101 AH HOOD RD,1070,980,TRUE,KALLANG/WHAMPOA,{4: 118}
106 JLN RAJAH,1358,1909,TRUE,KALLANG/WHAMPOA,{5: 152}
6 MARINE TER,481,1749,TRUE,MARINE PARADE,"{2: 67, 4: 153}"
14 MARINE TER,447,1557,TRUE,MARINE PARADE,{4: 120}
150 PASIR RIS ST 13,1344,609,TRUE,PASIR RIS,"{3: 110, 4: 136}"
446 PASIR RIS DR 6,1374,826,TRUE,PASIR RIS,"{3: 101, 4: 121}"
762 PASIR RIS ST 71,2303,3145,FALSE,PASIR RIS,"{3: 105, 4: 127}"
749 PASIR RIS ST 71,2174,2985,FALSE,PASIR RIS,"{3: 105, 4: 126}"
451 PASIR RIS DR 6,1542,694,TRUE,PASIR RIS,{3: 108}
214 PASIR RIS ST 21,1787,313,TRUE,PASIR RIS,"{3: 107, 4: 128}"
569 PASIR RIS ST 51,443,1362,TRUE,PASIR RIS,"{3: 104, 4: 124}"
193 PASIR RIS ST 12,2004,379,TRUE,PASIR RIS,{4: 126}
143 PASIR RIS ST 11,1415,729,TRUE,PASIR RIS,"{3: 106, 4: 126}"
145 PASIR RIS ST 11,1528,527,TRUE,PASIR RIS,"{3: 105, 4: 127}"
776 PASIR RIS ST 71,1835,2677,TRUE,PASIR RIS,"{3: 105, 4: 127}"
275 PASIR RIS ST 21,1629,662,TRUE,PASIR RIS,"{3: 107, 4: 126}"
272 PASIR RIS ST 21,1698,630,TRUE,PASIR RIS,"{3: 107, 4: 131}"
740 PASIR RIS ST 71,1893,2704,FALSE,PASIR RIS,"{3: 104, 4: 127}"
244 PASIR RIS ST 21,2120,908,TRUE,PASIR RIS,{5: 148}
463 PASIR RIS ST 41,1514,663,TRUE,PASIR RIS,{5: 145}
601 ELIAS RD,1071,1559,TRUE,PASIR RIS,{5: 152}
128 PASIR RIS ST 11,1395,1001,TRUE,PASIR RIS,{5: 148}
537 PASIR RIS ST 51,462,1381,TRUE,PASIR RIS,{5: 145}
459 PASIR RIS DR 4,1616,819,TRUE,PASIR RIS,{5: 144}
466 PASIR RIS ST 41,1450,599,TRUE,PASIR RIS,{5: 148}
586 PASIR RIS ST 53,464,1019,TRUE,PASIR RIS,{5: 146}
635B PUNGGOL DR,2038,2042,TRUE,PUNGGOL,{3: 91}
110C PUNGGOL FIELD,2500,1292,TRUE,PUNGGOL,"{3: 87, 4: 110}"
195C PUNGGOL RD,2224,1457,TRUE,PUNGGOL,{3: 90}
168A PUNGGOL EAST,3051,2099,TRUE,PUNGGOL,{3: 92}
169B PUNGGOL FIELD,2848,1726,TRUE,PUNGGOL,{3: 92}
168C PUNGGOL FIELD,2826,1618,TRUE,PUNGGOL,"{3: 92, 4: 113}"
168D PUNGGOL FIELD,2826,1618,TRUE,PUNGGOL,{3: 92}
106D PUNGGOL FIELD,2097,1279,TRUE,PUNGGOL,{4: 110}
128C PUNGGOL FIELD WALK,2686,1560,TRUE,PUNGGOL,"{3: 85, 4: 110}"
107B EDGEFIELD PLAINS,1944,1125,TRUE,PUNGGOL,"{3: 90, 4: 110}"
202B PUNGGOL FIELD,1658,1050,TRUE,PUNGGOL,"{3: 85, 4: 110}"
642B PUNGGOL DR,2412,2263,TRUE,PUNGGOL,"{3: 91, 4: 111}"
271B PUNGGOL WALK,2047,494,TRUE,PUNGGOL,"{3: 93, 4: 116}"
87 C'WEALTH CL,402,1662,FALSE,QUEENSTOWN,"{1: 46, 2: 60}"
21 DOVER CRES,923,785,TRUE,QUEENSTOWN,"{2: 66, 4: 130}"
19 DOVER CRES,816,867,TRUE,QUEENSTOWN,"{3: 90, 4: 112}"
5 HOLLAND CL,645,1248,FALSE,QUEENSTOWN,"{3: 105, 4: 124}"
19 QUEEN'S CL,1014,921,FALSE,QUEENSTOWN,"{3: 108, 4: 133}"
129 CLARENCE LANE,596,1332,FALSE,QUEENSTOWN,{3: 104}
82 STRATHMORE AVE,365,1002,FALSE,QUEENSTOWN,"{3: 105, 4: 124}"
589D MONTREAL DR,597,877,TRUE,SEMBAWANG,"{3: 90, 4: 110}"
302 CANBERRA RD,965,752,TRUE,SEMBAWANG,{3: 92}
436D FERNVALE RD,2538,155,TRUE,SENGKANG,"{2: 70, 3: 96}"
406B FERNVALE RD,2900,510,TRUE,SENGKANG,"{3: 91, 4: 110}"
264C COMPASSVALE BOW,585,1202,TRUE,SENGKANG,{3: 92}
187B RIVERVALE DR,1619,410,TRUE,SENGKANG,"{3: 91, 4: 110}"
309A ANCHORVALE RD,1310,1288,TRUE,SENGKANG,"{3: 92, 4: 111}"
124 RIVERVALE DR,1189,809,TRUE,SENGKANG,"{3: 101, 4: 121}"
246 COMPASSVALE RD,662,712,TRUE,SENGKANG,{4: 116}
253 COMPASSVALE ST,829,621,TRUE,SENGKANG,{4: 116}
311B ANCHORVALE LANE,1587,1128,TRUE,SENGKANG,"{3: 91, 4: 111}"
134 RIVERVALE ST,1366,617,TRUE,SENGKANG,{4: 121}
254 COMPASSVALE RD,767,682,TRUE,SENGKANG,{4: 116}
291B COMPASSVALE ST,772,823,TRUE,SENGKANG,"{3: 90, 4: 110}"
116A RIVERVALE DR,1505,1386,TRUE,SENGKANG,"{3: 95, 4: 115, 5: 130}"
403A FERNVALE LANE,2998,579,TRUE,SENGKANG,"{3: 93, 4: 112}"
259C COMPASSVALE RD,480,530,TRUE,SENGKANG,"{3: 90, 4: 110}"
204B COMPASSVALE DR,479,684,TRUE,SENGKANG,"{3: 90, 4: 110}"
103 RIVERVALE WALK,1311,1352,TRUE,SENGKANG,{5: 142}
147 RIVERVALE CRES,1346,350,TRUE,SENGKANG,{5: 137}
136 RIVERVALE ST,1310,468,TRUE,SENGKANG,{5: 141}
106 SERANGOON NTH AVE 1,2638,1544,TRUE,SERANGOON,"{2: 64, 4: 140}"
535A SERANGOON NTH AVE 4,2684,770,TRUE,SERANGOON,"{3: 104, 4: 124}"
546 SERANGOON NTH AVE 3,3173,1151,TRUE,SERANGOON,"{3: 100, 4: 120}"
245 SERANGOON AVE 2,572,493,TRUE,SERANGOON,"{2: 64, 3: 88}"
6 LOR LEW LIAN,707,792,TRUE,SERANGOON,{3: 98}
414 SERANGOON CTRL,330,415,TRUE,SERANGOON,"{3: 109, 4: 121}"
427 SERANGOON CTRL,511,596,TRUE,SERANGOON,"{3: 109, 4: 121}"
523 SERANGOON NTH AVE 4,2731,1064,TRUE,SERANGOON,"{3: 104, 4: 122}"
213 SERANGOON AVE 4,946,878,FALSE,SERANGOON,{4: 122}
333 SERANGOON AVE 3,425,320,TRUE,SERANGOON,"{3: 84, 4: 122}"
138 SERANGOON NTH AVE 2,2116,1148,TRUE,SERANGOON,{5: 146}
223 TAMPINES ST 24,231,484,TRUE,TAMPINES,"{2: 67, 3: 92}"
407 TAMPINES ST 41,1273,894,TRUE,TAMPINES,"{2: 64, 4: 128}"
291 TAMPINES ST 22,897,543,TRUE,TAMPINES,"{2: 73, 3: 106}"
446 TAMPINES ST 42,591,857,TRUE,TAMPINES,"{2: 74, 3: 105}"
451 TAMPINES ST 42,447,870,TRUE,TAMPINES,"{3: 84, 4: 122}"
319 TAMPINES ST 33,774,620,TRUE,TAMPINES,"{3: 110, 4: 128}"
856 TAMPINES ST 82,1070,982,TRUE,TAMPINES,"{3: 88, 4: 122}"
867 TAMPINES ST 83,1502,1434,TRUE,TAMPINES,"{3: 104, 4: 121}"
708 TAMPINES ST 71,1689,1254,TRUE,TAMPINES,"{3: 101, 4: 119}"
927 TAMPINES ST 91,402,1040,TRUE,TAMPINES,{3: 103}
498A TAMPINES ST 45,1043,1584,TRUE,TAMPINES,"{3: 106, 4: 124, 5: 143}"
705 TAMPINES ST 71,1694,1178,TRUE,TAMPINES,"{3: 99, 4: 119}"
909 TAMPINES AVE 4,680,642,TRUE,TAMPINES,"{2: 74, 3: 104, 5: 146}"
902 TAMPINES AVE 4,767,581,TRUE,TAMPINES,{3: 105}
278 TAMPINES ST 22,866,905,TRUE,TAMPINES,"{3: 106, 4: 133}"
294 TAMPINES ST 22,782,390,TRUE,TAMPINES,"{3: 98, 4: 124}"
154 SIMEI ST 1,527,569,TRUE,TAMPINES,"{3: 92, 4: 122}"
289 TAMPINES ST 22,929,576,TRUE,TAMPINES,"{3: 98, 4: 123}"
449 TAMPINES ST 42,469,735,TRUE,TAMPINES,"{3: 86, 4: 122}"
926 TAMPINES ST 91,431,1005,TRUE,TAMPINES,"{3: 105, 4: 134}"
498H TAMPINES ST 45,1155,1813,TRUE,TAMPINES,"{3: 106, 4: 124, 5: 144}"
373 TAMPINES ST 34,539,1117,FALSE,TAMPINES,"{3: 111, 4: 129}"
127 TAMPINES ST 11,869,836,TRUE,TAMPINES,"{3: 103, 4: 133}"
497A TAMPINES ST 45,785,1396,TRUE,TAMPINES,"{4: 122, 5: 142}"
394 TAMPINES AVE 7,305,677,TRUE,TAMPINES,"{3: 106, 4: 130}"
230C TAMPINES ST 24,452,503,TRUE,TAMPINES,"{3: 107, 4: 128}"
727 TAMPINES ST 71,1555,1230,TRUE,TAMPINES,"{3: 103, 4: 122}"
145 SIMEI ST 2,461,503,TRUE,TAMPINES,"{3: 84, 4: 122}"
518C TAMPINES CTRL 7,1571,905,TRUE,TAMPINES,"{3: 95, 4: 109}"
148 TAMPINES AVE 5,987,305,TRUE,TAMPINES,{5: 146}
889 TAMPINES ST 81,1132,1758,TRUE,TAMPINES,{5: 147}
431 TAMPINES ST 41,806,1072,TRUE,TAMPINES,{5: 146}
310 TAMPINES ST 32,576,693,TRUE,TAMPINES,{5: 147}
893 TAMPINES AVE 8,1078,1961,FALSE,TAMPINES,{5: 140}
863 TAMPINES ST 83,1452,1179,TRUE,TAMPINES,{5: 147}
94 LOR 4 TOA PAYOH,557,2204,TRUE,TOA PAYOH,{2: 60}
4 UPP ALJUNIED LANE,1140,1229,TRUE,TOA PAYOH,{2: 57}
2 UPP ALJUNIED LANE,1189,1181,TRUE,TOA PAYOH,{2: 57}
231 LOR 8 TOA PAYOH,1971,1856,TRUE,TOA PAYOH,{2: 65}
126 LOR 1 TOA PAYOH,404,2843,TRUE,TOA PAYOH,{2: 67}
174 LOR 1 TOA PAYOH,932,1718,TRUE,TOA PAYOH,"{2: 68, 4: 130}"
249 KIM KEAT LINK,1299,2139,TRUE,TOA PAYOH,"{3: 104, 4: 121}"
250 KIM KEAT LINK,1306,2150,TRUE,TOA PAYOH,"{3: 103, 4: 126}"
82 LOR 4 TOA PAYOH,615,2606,TRUE,TOA PAYOH,"{3: 104, 4: 122}"
138 POTONG PASIR AVE 3,665,455,FALSE,TOA PAYOH,{3: 106}
84 LOR 2 TOA PAYOH,433,2243,TRUE,TOA PAYOH,{3: 106}
80A LOR 4 TOA PAYOH,598,2608,TRUE,TOA PAYOH,"{3: 104, 4: 124}"
217 LOR 8 TOA PAYOH,1205,1544,TRUE,TOA PAYOH,{4: 117}
215 LOR 8 TOA PAYOH,1202,1721,TRUE,TOA PAYOH,{4: 117}
216 LOR 8 TOA PAYOH,1134,1591,TRUE,TOA PAYOH,{4: 116}
50 LOR 5 TOA PAYOH,1006,2199,TRUE,TOA PAYOH,{4: 125}
172 LOR 1 TOA PAYOH,845,1554,TRUE,TOA PAYOH,"{3: 105, 4: 124}"
151 WOODLANDS ST 13,383,1593,TRUE,WOODLANDS,"{2: 73, 3: 103}"
570A WOODLANDS AVE 1,512,1089,FALSE,WOODLANDS,"{2: 67, 3: 92}"
570B WOODLANDS AVE 1,583,1022,FALSE,WOODLANDS,"{2: 67, 3: 92}"
748 WOODLANDS CIRCLE,1057,2012,TRUE,WOODLANDS,"{3: 102, 4: 122}"
756 WOODLANDS AVE 4,1409,1867,TRUE,WOODLANDS,"{3: 102, 4: 121}"
645 WOODLANDS RING RD,567,2225,TRUE,WOODLANDS,"{3: 101, 4: 121}"
664 WOODLANDS RING RD,802,1939,TRUE,WOODLANDS,"{3: 101, 4: 122}"
630 WOODLANDS RING RD,810,2159,TRUE,WOODLANDS,"{3: 101, 4: 122}"
736 WOODLANDS CIRCLE,777,1768,TRUE,WOODLANDS,"{3: 102, 4: 122}"
602 WOODLANDS DR 42,653,1560,TRUE,WOODLANDS,"{3: 102, 4: 121}"
344 WOODLANDS ST 32,801,769,TRUE,WOODLANDS,"{3: 87, 4: 122}"
896B WOODLANDS DR 50,988,1134,TRUE,WOODLANDS,"{3: 99, 4: 119}"
682D WOODLANDS DR 73,524,2178,TRUE,WOODLANDS,"{3: 103, 4: 121}"
679 WOODLANDS AVE 6,178,2227,TRUE,WOODLANDS,"{3: 101, 4: 122}"
517 WOODLANDS DR 14,919,936,FALSE,WOODLANDS,"{3: 104, 4: 125, 5: 142}"
681B WOODLANDS DR 62,414,2449,TRUE,WOODLANDS,"{3: 103, 4: 120, 5: 143}"
410 WOODLANDS ST 41,626,1819,TRUE,WOODLANDS,"{3: 109, 4: 130}"
746 WOODLANDS CIRCLE,925,1653,TRUE,WOODLANDS,"{3: 102, 4: 122}"
897A WOODLANDS DR 50,1148,1224,TRUE,WOODLANDS,"{3: 99, 4: 119}"
417 WOODLANDS ST 41,629,1746,TRUE,WOODLANDS,"{3: 103, 4: 128}"
683A WOODLANDS DR 62,305,2354,TRUE,WOODLANDS,"{3: 104, 4: 123}"
762 WOODLANDS AVE 6,1051,2090,TRUE,WOODLANDS,"{3: 102, 4: 122}"
770 WOODLANDS DR 60,897,2317,TRUE,WOODLANDS,"{3: 101, 4: 122}"
747 WOODLANDS CIRCLE,981,1748,TRUE,WOODLANDS,"{3: 102, 4: 122}"
301 WOODLANDS ST 31,272,1521,TRUE,WOODLANDS,"{3: 91, 4: 132, 5: 163}"
891B WOODLANDS DR 50,669,834,TRUE,WOODLANDS,"{3: 100, 4: 121}"
868 WOODLANDS ST 83,1165,1472,TRUE,WOODLANDS,{5: 147}
646 WOODLANDS RING RD,457,2108,TRUE,WOODLANDS,{5: 143}
341 WOODLANDS AVE 1,935,802,TRUE,WOODLANDS,"{2: 69, 3: 93, 4: 136, 5: 176}"
848 WOODLANDS ST 82,1115,1279,TRUE,WOODLANDS,"{2: 69, 3: 93, 5: 174}"
342 WOODLANDS AVE 1,923,742,TRUE,WOODLANDS,"{2: 69, 3: 94, 4: 136, 5: 176}"
803 WOODLANDS ST 81,637,801,TRUE,WOODLANDS,{5: 173}
832 WOODLANDS ST 83,765,929,TRUE,WOODLANDS,"{2: 73, 3: 103, 5: 177}"
705 YISHUN AVE 5,763,889,FALSE,YISHUN,"{2: 68, 3: 94}"
353 YISHUN RING RD,1582,1262,TRUE,YISHUN,"{2: 74, 3: 105}"
274 YISHUN ST 22,1372,831,TRUE,YISHUN,"{2: 74, 3: 104}"
708 YISHUN AVE 5,1086,1202,FALSE,YISHUN,"{2: 67, 3: 92}"
141 YISHUN RING RD,719,766,FALSE,YISHUN,"{2: 69, 3: 94}"
112 YISHUN RING RD,1154,1200,FALSE,YISHUN,"{2: 64, 3: 86}"
227 YISHUN ST 21,859,697,TRUE,YISHUN,"{2: 68, 3: 93, 4: 136}"
128 YISHUN ST 11,847,884,FALSE,YISHUN,"{2: 74, 3: 107}"
744 YISHUN ST 72,147,328,FALSE,YISHUN,{2: 67}
739 YISHUN AVE 5,337,518,FALSE,YISHUN,"{2: 67, 3: 93}"
224 YISHUN ST 21,682,603,TRUE,YISHUN,"{2: 67, 3: 95, 4: 134}"
211 YISHUN ST 21,607,528,TRUE,YISHUN,"{2: 67, 3: 94}"
327 YISHUN RING RD,1116,495,TRUE,YISHUN,{3: 91}
284 YISHUN AVE 6,1444,1064,TRUE,YISHUN,"{2: 74, 3: 105}"
286 YISHUN AVE 6,1419,1098,TRUE,YISHUN,"{2: 74, 3: 105}"
244 YISHUN RING RD,1032,183,TRUE,YISHUN,{3: 88}
870 YISHUN ST 81,946,2352,TRUE,YISHUN,"{3: 104, 4: 122}"
350 YISHUN AVE 11,1449,1297,TRUE,YISHUN,"{3: 105, 4: 122}"
788 YISHUN AVE 2,547,1137,TRUE,YISHUN,"{3: 90, 4: 122}"
448 YISHUN RING RD,1812,1668,TRUE,YISHUN,"{1: 47, 2: 67, 3: 93}"
749 YISHUN ST 72,199,344,FALSE,YISHUN,{3: 91}
844 YISHUN ST 81,476,1839,TRUE,YISHUN,"{3: 104, 4: 124}"
413 YISHUN RING RD,1769,1355,TRUE,YISHUN,"{3: 104, 4: 124}"
223 YISHUN ST 21,674,595,TRUE,YISHUN,"{2: 67, 3: 93, 4: 134}"
298 YISHUN ST 20,809,743,TRUE,YISHUN,{4: 111}
