Address,Distance_MRT,Distance_Mall,Within_1km_of_Pri,Town,Flat_Type_Area_Map
537 BT BATOK ST 52,501,1299,TRUE,BUKIT BATOK,"{2: 73, 3: 103}"
213 BT BATOK ST 21,690,776,TRUE,BUKIT BATOK,"{2: 70, 3: 93}"
219 BT BATOK ST 21,930,964,TRUE,BUKIT BATOK,"{2: 67, 3: 93}"
235 BT BATOK EAST AVE 5,978,1005,TRUE,BUKIT BATOK,"{2: 68, 3: 94, 4: 134}"
130 BT BATOK WEST AVE 6,679,588,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
212 BT BATOK ST 21,662,729,TRUE,BUKIT BATOK,"{2: 68, 3: 94}"
346 BT BATOK ST 34,528,1788,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
226 BT BATOK CTRL,617,646,TRUE,BUKIT BATOK,"{2: 68, 3: 94}"
247 BT BATOK EAST AVE 5,1198,1219,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
169 BT BATOK WEST AVE 8,1149,1307,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
154 BT BATOK ST 11,819,977,TRUE,BUKIT BATOK,{2: 70}
260 BT BATOK EAST AVE 4,1361,1383,TRUE,BUKIT BATOK,"{2: 73, 3: 103}"
360 BT BATOK ST 31,366,1621,TRUE,BUKIT BATOK,"{2: 68, 3: 95}"
217 BT BATOK ST 21,934,1004,TRUE,BUKIT BATOK,"{2: 68, 3: 93}"
178 BT BATOK WEST AVE 8,973,1131,TRUE,BUKIT BATOK,"{2: 73, 3: 106}"
265 BT BATOK EAST AVE 4,2027,1508,TRUE,BUKIT BATOK,"{2: 72, 3: 93}"
134 BT BATOK WEST AVE 6,868,763,TRUE,BUKIT BATOK,"{2: 69, 3: 93}"
301 BT BATOK ST 31,468,1002,TRUE,BUKIT BATOK,"{3: 88, 4: 122}"
289E BT BATOK ST 25,1533,1562,TRUE,BUKIT BATOK,"{3: 101, 4: 122}"
244 BT BATOK EAST AVE 5,1204,1231,TRUE,BUKIT BATOK,"{2: 68, 3: 95}"
248 BT BATOK EAST AVE 5,1121,1142,TRUE,BUKIT BATOK,"{2: 73, 3: 103}"
290D BT BATOK EAST AVE 3,1365,1394,TRUE,BUKIT BATOK,"{3: 102, 4: 121}"
395 BT BATOK WEST AVE 5,941,3879,TRUE,BUKIT BATOK,{3: 91}
642 BT BATOK CTRL,345,412,TRUE,BUKIT BATOK,"{3: 104, 4: 121}"
185 BT BATOK WEST AVE 6,725,883,TRUE,BUKIT BATOK,"{3: 107, 4: 131}"
106 BT BATOK CTRL,369,589,TRUE,BUKIT BATOK,{3: 105}
210 BT BATOK ST 21,562,782,TRUE,BUKIT BATOK,{3: 106}
386 BT BATOK WEST AVE 5,672,3610,TRUE,BUKIT BATOK,"{3: 91, 4: 118}"
394 BT BATOK WEST AVE 5,994,3932,TRUE,BUKIT BATOK,"{3: 92, 4: 117}"
190 BT BATOK WEST AVE 6,646,866,TRUE,BUKIT BATOK,"{3: 100, 4: 118}"
206 BT BATOK ST 21,385,605,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
211 BT BATOK ST 21,504,724,TRUE,BUKIT BATOK,{3: 106}
391 BT BATOK WEST AVE 5,933,3871,TRUE,BUKIT BATOK,{3: 90}
205 BT BATOK ST 21,352,572,TRUE,BUKIT BATOK,"{2: 73, 3: 104}"
193 BT BATOK WEST AVE 6,819,1036,TRUE,BUKIT BATOK,{3: 100}
624 BT BATOK CTRL,451,241,TRUE,BUKIT BATOK,"{3: 101, 4: 118}"
290A BT BATOK ST 24,1374,1594,TRUE,BUKIT BATOK,"{3: 103, 4: 121}"
141 BT BATOK ST 11,948,933,TRUE,BUKIT BATOK,{5: 150}
120 BT BATOK CTRL,482,289,TRUE,BUKIT BATOK,{5: 149}
289A BT BATOK ST 25,1674,1702,TRUE,BUKIT BATOK,"{4: 122, 5: 144}"
10 JLN BT HO SWEE,324,873,TRUE,BUKIT MERAH,{1: 34}
2 JLN BT HO SWEE,430,762,TRUE,BUKIT MERAH,{1: 34}
45 TELOK BLANGAH DR,153,1727,FALSE,BUKIT MERAH,{1: 45}
36 BEO CRES,544,588,TRUE,BUKIT MERAH,"{1: 52, 2: 59}"
20 TELOK BLANGAH CRES,1487,1603,TRUE,BUKIT MERAH,"{2: 69, 4: 147}"
16 TAMAN HO SWEE,402,816,TRUE,BUKIT MERAH,"{1: 49, 2: 55}"
32 TELOK BLANGAH RISE,1730,1638,TRUE,BUKIT MERAH,{2: 64}
33 TELOK BLANGAH WAY,1733,1641,TRUE,BUKIT MERAH,"{2: 61, 4: 118}"
142 JLN BT MERAH,1346,1462,TRUE,BUKIT MERAH,"{2: 69, 3: 92}"
131 JLN BT MERAH,883,999,TRUE,BUKIT MERAH,{2: 66}
30 JLN KLINIK,410,453,TRUE,BUKIT MERAH,"{1: 49, 2: 60}"
63 TELOK BLANGAH HTS,712,1961,FALSE,BUKIT MERAH,"{2: 75, 3: 98}"
61 TELOK BLANGAH HTS,871,2076,FALSE,BUKIT MERAH,"{2: 69, 3: 81}"
116 BT MERAH VIEW,826,974,TRUE,BUKIT MERAH,{2: 60}
44 TELOK BLANGAH DR,230,1517,FALSE,BUKIT MERAH,{2: 67}
24 BEO CRES,572,616,TRUE,BUKIT MERAH,"{1: 48, 2: 60}"
78 INDUS RD,941,484,TRUE,BUKIT MERAH,{2: 70}
55 TELOK BLANGAH DR,655,1833,FALSE,BUKIT MERAH,"{2: 75, 3: 98}"
130 BT MERAH VIEW,545,661,TRUE,BUKIT MERAH,"{2: 68, 4: 140}"
122 BT MERAH LANE 1,1219,399,FALSE,BUKIT MERAH,{2: 79}
80C TELOK BLANGAH ST 31,602,2755,FALSE,BUKIT MERAH,"{2: 68, 3: 93}"
50 MOH GUAN TER,625,668,TRUE,BUKIT MERAH,"{2: 85, 3: 176}"
47 MOH GUAN TER,668,711,TRUE,BUKIT MERAH,"{1: 44, 2: 77}"
54 HAVELOCK RD,798,842,TRUE,BUKIT MERAH,"{2: 69, 3: 92}"
101 HENDERSON CRES,739,840,TRUE,BUKIT MERAH,{3: 74}
23 TELOK BLANGAH CRES,2037,1945,TRUE,BUKIT MERAH,{3: 82}
106 HENDERSON CRES,718,935,TRUE,BUKIT MERAH,{3: 81}
115 BT PURMEI RD,2108,2224,TRUE,BUKIT MERAH,"{3: 103, 4: 147}"
108 BT PURMEI RD,1613,1521,TRUE,BUKIT MERAH,"{2: 75, 3: 104}"
129 KIM TIAN RD,855,936,TRUE,BUKIT MERAH,{3: 88}
106B DEPOT RD,2080,2009,FALSE,BUKIT MERAH,"{3: 100, 4: 115}"
38 JLN RUMAH TINGGI,1231,882,FALSE,BUKIT MERAH,{3: 100}
3 DELTA AVE,1073,403,TRUE,BUKIT MERAH,{3: 91}
134 JLN BT MERAH,1058,1174,TRUE,BUKIT MERAH,"{3: 106, 4: 128}"
80A TELOK BLANGAH ST 31,786,2647,FALSE,BUKIT MERAH,{3: 95}
27A JLN MEMBINA,644,760,TRUE,BUKIT MERAH,{3: 88}
75A REDHILL RD,309,1549,FALSE,BUKIT MERAH,"{3: 100, 4: 115}"
77A REDHILL RD,199,1400,TRUE,BUKIT MERAH,"{3: 94, 4: 115}"
57 HAVELOCK RD,819,668,TRUE,BUKIT MERAH,"{2: 69, 3: 91}"
48 LENGKOK BAHRU,850,1023,FALSE,BUKIT MERAH,"{3: 86, 4: 122}"
35 JLN RUMAH TINGGI,1376,711,FALSE,BUKIT MERAH,{4: 120}
46 LENGKOK BAHRU,641,1232,FALSE,BUKIT MERAH,"{3: 106, 4: 134}"
67 TELOK BLANGAH DR,551,2655,FALSE,BUKIT MERAH,{4: 118}
87 ZION RD,322,487,TRUE,BUKIT MERAH,{4: 116}
1 DELTA AVE,1016,491,TRUE,BUKIT MERAH,{4: 119}
214 PETIR RD,1505,1556,TRUE,BUKIT PANJANG,"{2: 73, 3: 103}"
123 PENDING RD,1271,977,TRUE,BUKIT PANJANG,"{2: 73, 3: 103}"
249 BANGKIT RD,1735,1467,TRUE,BUKIT PANJANG,"{2: 73, 3: 103}"
458 SEGAR RD,1971,1762,TRUE,BUKIT PANJANG,"{2: 68, 3: 93}"
506 JELAPANG RD,1458,1286,TRUE,BUKIT PANJANG,"{3: 102, 4: 121}"
621 SENJA RD,947,854,TRUE,BUKIT PANJANG,"{3: 90, 4: 110}"
402 FAJAR RD,903,635,TRUE,BUKIT PANJANG,"{3: 104, 4: 124}"
419 FAJAR RD,1362,1121,TRUE,BUKIT PANJANG,"{3: 104, 4: 125}"
526 JELAPANG RD,1170,998,TRUE,BUKIT PANJANG,"{3: 102, 4: 120}"
623 SENJA RD,1006,1113,TRUE,BUKIT PANJANG,"{3: 90, 4: 110}"
128 PENDING RD,1295,870,TRUE,BUKIT PANJANG,"{2: 73, 3: 104}"
204 PETIR RD,1446,1538,TRUE,BUKIT PANJANG,"{3: 106, 4: 122}"
473 SEGAR RD,1975,1735,TRUE,BUKIT PANJANG,"{3: 91, 4: 111, 5: 128}"
237 BT PANJANG RING RD,1213,945,TRUE,BUKIT PANJANG,"{3: 104, 4: 125}"
539 BT PANJANG RING RD,634,476,TRUE,BUKIT PANJANG,"{3: 100, 4: 122}"
516 JELAPANG RD,1436,1276,TRUE,BUKIT PANJANG,"{3: 102, 4: 121}"
217 PETIR RD,1331,1408,TRUE,BUKIT PANJANG,{3: 91}
218 PETIR RD,1305,1387,TRUE,BUKIT PANJANG,{3: 93}
517 JELAPANG RD,1395,1249,TRUE,BUKIT PANJANG,"{3: 102, 4: 124}"
652 SENJA LINK,1184,1059,TRUE,BUKIT PANJANG,"{3: 91, 4: 110, 5: 130}"
624 SENJA RD,1039,1103,TRUE,BUKIT PANJANG,"{3: 90, 4: 110}"
629 SENJA RD,1053,1062,TRUE,BUKIT PANJANG,"{3: 91, 4: 110}"
455 SEGAR RD,1884,1645,TRUE,BUKIT PANJANG,"{2: 68, 3: 93}"
176 LOMPANG RD,640,308,TRUE,BUKIT PANJANG,"{3: 101, 4: 121}"
418 FAJAR RD,1349,1120,TRUE,BUKIT PANJANG,"{3: 104, 4: 124}"
484 SEGAR RD,1993,1753,TRUE,BUKIT PANJANG,"{3: 91, 4: 110, 5: 128}"
140 PETIR RD,1029,899,TRUE,BUKIT PANJANG,"{3: 104, 4: 122}"
152 GANGSA RD,1447,640,TRUE,BUKIT PANJANG,{4: 121}
537 BT PANJANG RING RD,741,583,TRUE,BUKIT PANJANG,"{3: 100, 4: 122}"
401 FAJAR RD,995,726,TRUE,BUKIT PANJANG,"{3: 106, 4: 122}"
242 BT PANJANG RING RD,1398,1130,TRUE,BUKIT PANJANG,"{3: 105, 4: 122}"
613 BT PANJANG RING RD,731,838,TRUE,BUKIT PANJANG,"{3: 90, 4: 111}"
654 SENJA RD,1258,1133,TRUE,BUKIT PANJANG,"{3: 91, 4: 110, 5: 130}"
536 JELAPANG RD,844,672,TRUE,BUKIT PANJANG,"{3: 101, 4: 120}"
154 GANGSA RD,1498,637,TRUE,BUKIT PANJANG,{4: 121}
174 LOMPANG RD,664,410,TRUE,BUKIT PANJANG,"{3: 101, 4: 122}"
177 LOMPANG RD,571,313,TRUE,BUKIT PANJANG,"{3: 90, 4: 110}"
606 SENJA RD,366,473,TRUE,BUKIT PANJANG,"{3: 99, 4: 120}"
650 SENJA LINK,1110,985,TRUE,BUKIT PANJANG,"{3: 91, 4: 111, 5: 130}"
228 PENDING RD,1190,1031,TRUE,BUKIT PANJANG,{5: 145}
151 PETIR RD,830,507,TRUE,BUKIT PANJANG,{5: 144}
4 TOH YI DR,468,808,TRUE,BUKIT TIMAH,"{3: 104, 4: 124}"
5 FARRER RD,143,3318,TRUE,BUKIT TIMAH,{4: 122}
15 TOH YI DR,587,1061,TRUE,BUKIT TIMAH,{5: 146}
9 JLN KUKOH,1059,748,TRUE,CENTRAL AREA,"{1: 54, 2: 66}"
640 ROWELL RD,378,788,FALSE,CENTRAL AREA,"{2: 74, 3: 115}"
264 WATERLOO ST,420,489,TRUE,CENTRAL AREA,{2: 63}
32 NEW MKT RD,222,300,FALSE,CENTRAL AREA,"{1: 54, 2: 66}"
5 TG PAGAR PLAZA,599,385,FALSE,CENTRAL AREA,"{2: 62, 4: 118}"
271 QUEEN ST,378,391,TRUE,CENTRAL AREA,"{2: 64, 4: 128}"
232 BAIN ST,404,317,TRUE,CENTRAL AREA,{3: 82}
1C CANTONMENT RD,661,530,FALSE,CENTRAL AREA,"{3: 94, 4: 106}"
1F CANTONMENT RD,802,507,FALSE,CENTRAL AREA,"{3: 94, 4: 106}"
1B CANTONMENT RD,608,577,FALSE,CENTRAL AREA,"{3: 94, 4: 106}"
111 TECK WHYE LANE,1180,1337,TRUE,CHOA CHU KANG,"{2: 73, 3: 103}"
114 TECK WHYE LANE,1344,1273,TRUE,CHOA CHU KANG,"{2: 73, 3: 104}"
460 CHOA CHU KANG AVE 4,1480,1526,TRUE,CHOA CHU KANG,"{3: 103, 4: 123}"
121 TECK WHYE LANE,1270,1224,TRUE,CHOA CHU KANG,"{3: 104, 4: 121}"
404 CHOA CHU KANG AVE 3,969,1015,TRUE,CHOA CHU KANG,{3: 106}
692B CHOA CHU KANG CRES,831,968,TRUE,CHOA CHU KANG,"{3: 90, 4: 110}"
115 TECK WHYE LANE,1333,1237,TRUE,CHOA CHU KANG,"{2: 73, 3: 103}"
422 CHOA CHU KANG AVE 4,641,673,TRUE,CHOA CHU KANG,"{3: 104, 4: 122}"
680 CHOA CHU KANG CRES,992,1049,TRUE,CHOA CHU KANG,"{3: 104, 4: 123, 5: 144}"
771 CHOA CHU KANG ST 54,763,792,TRUE,CHOA CHU KANG,"{3: 104, 4: 121}"
229 CHOA CHU KANG CTRL,737,702,TRUE,CHOA CHU KANG,"{3: 104, 4: 122}"
237 CHOA CHU KANG CTRL,1007,972,TRUE,CHOA CHU KANG,{3: 106}
157 JLN TECK WHYE,658,814,FALSE,CHOA CHU KANG,{3: 93}
416 CHOA CHU KANG AVE 4,411,457,TRUE,CHOA CHU KANG,"{3: 105, 4: 128}"
414 CHOA CHU KANG AVE 4,556,585,TRUE,CHOA CHU KANG,"{3: 105, 4: 121}"
239 CHOA CHU KANG CTRL,964,929,TRUE,CHOA CHU KANG,{3: 107}
423 CHOA CHU KANG AVE 4,685,731,TRUE,CHOA CHU KANG,"{3: 104, 4: 122}"
621 CHOA CHU KANG ST 62,298,435,TRUE,CHOA CHU KANG,"{3: 107, 4: 133}"
657 CHOA CHU KANG CRES,574,711,TRUE,CHOA CHU KANG,"{3: 102, 4: 120, 5: 141}"
418 CHOA CHU KANG AVE 4,595,624,TRUE,CHOA CHU KANG,"{3: 106, 4: 122}"
608 CHOA CHU KANG ST 62,370,390,TRUE,CHOA CHU KANG,"{3: 107, 4: 127}"
412 CHOA CHU KANG AVE 3,570,599,TRUE,CHOA CHU KANG,{3: 107}
635 CHOA CHU KANG NTH 6,307,444,TRUE,CHOA CHU KANG,{3: 113}
353 CHOA CHU KANG CTRL,497,501,TRUE,CHOA CHU KANG,"{3: 107, 4: 125}"
453 CHOA CHU KANG AVE 4,1437,1483,TRUE,CHOA CHU KANG,"{4: 123, 5: 142}"
689A CHOA CHU KANG DR,825,962,FALSE,CHOA CHU KANG,"{3: 90, 4: 110}"
