Address,Lat,Long,Nearest_MRT,Distance_MRT,Nearest_Mall,Distance_Mall,Nearest_Pri_Sch,Within_1km_of_Pri
563 CHOA CHU KANG ST 52,1.395669184,103.7457261,Yew Tee MRT,387,YewTee Point,295,Kranji Primary School,TRUE
376A HOUGANG ST 32,1.363460098,103.8935763,Hougang MRT,1183,Hougang Mall,1522,Holy Innocents' Primary School,TRUE
376B HOUGANG ST 32,1.364123377,103.8940907,Hougang MRT,1187,Hougang Mall,1526,Holy Innocents' Primary School,TRUE
259 JURONG EAST ST 24,1.344174546,103.7398756,Chinese Garden MRT,1117,Westgate,1628,Princess Elizabeth Primary School,TRUE
415 PANDAN GDNS,1.320765433,103.7482586,Jurong East MRT,2492,Jem,2471,Qifa Primary School,FALSE
479 JURONG WEST ST 41,1.347202757,103.7245012,Lakeside MRT,1069,Jurong Point,2710,Shuqun Primary School,TRUE
530C PASIR RIS DR 1,1.371626182,103.9501139,Pasir Ris MRT,737,Downtown East,1645,Elias Park Primary School,TRUE
670A EDGEFIELD PLAINS,1.405383412,103.9129608,Punggol MRT,1776,Waterway Point,1971,Oasis Primary School,TRUE
663A PUNGGOL DR,1.400243476,103.91708,Punggol MRT,2384,Rivervale Mall,2318,Waterway Primary School,TRUE
310A PUNGGOL WALK,1.408700889,103.9013266,Punggol MRT,2319,Waterway Point,599,Valour Primary School,TRUE
670C EDGEFIELD PLAINS,1.405342858,103.9139333,Punggol MRT,1801,Waterway Point,1947,Oasis Primary School,TRUE
665B PUNGGOL DR,1.402040572,103.9141411,Punggol MRT,1954,Waterway Point,1848,Horizon Primary School,TRUE
91 DAWSON RD,1.295340411,103.8125852,Queenstown MRT,1007,Anchorpoint,1284,Alexandra Primary School,FALSE
470A FERNVALE LINK,1.396478384,103.8794949,Sengkang MRT,2102,The Seletar Mall,1043,Fern Green Primary School,TRUE
469A SENGKANG WEST WAY,1.395895117,103.8780831,Sengkang MRT,2301,The Seletar Mall,711,Fern Green Primary School,TRUE
412 SERANGOON CTRL,1.348471747,103.8732734,Serangoon MRT,394,NEX,479,Yangzheng Primary School,TRUE
858B TAMPINES AVE 5,1.354292927,103.9386506,Tampines West MRT,1219,Century Square,785,Poi Ching School,TRUE
886A TAMPINES ST 83,1.351890453,103.9322682,Tampines West MRT,1250,Century Square,1665,Poi Ching School,TRUE
128 SIMEI ST 1,1.346900721,103.9548558,Simei MRT,694,Eastpoint Mall,735,Chongzheng Primary School,TRUE
761 YISHUN ST 72,1.425398425,103.833259,Yishun MRT,627,Northpoint City,749,Northland Primary School,TRUE
281 YISHUN ST 22,1.438964578,103.8375006,Canberra MRT,1297,Junction 9,1096,Chongfu School,TRUE
807C CHAI CHEE RD,1.327997941,103.9232486,Bedok MRT,1118,Bedok Mall,967,Fengshan Primary School,TRUE
808A CHAI CHEE RD,1.326870446,103.9238482,Bedok MRT,1108,Bedok Mall,956,Fengshan Primary School,TRUE
652 JLN TENAGA,1.332696519,103.907743,Kaki Bukit MRT,471,Singpost Centre,3071,Maha Bodhi School,TRUE
344 BT BATOK ST 34,1.362581762,103.7498728,Bukit Gombak MRT,613,West Mall,1780,Dazhong Primary School,TRUE
44 LENGKOK BAHRU,1.286850982,103.8117125,Redhill MRT,758,Anchorpoint,1145,Alexandra Primary School,FALSE
212 PETIR RD,1.374503146,103.7757604,Cashew MRT,1621,Bukit Panjang Plaza,1680,Bukit Panjang Primary School,TRUE
443C FAJAR RD,1.380570531,103.7697327,Bukit Panjang MRT,1367,Bukit Panjang Plaza,1127,Zhenghua Primary School,TRUE
443D FAJAR RD,1.380613815,103.7706451,Bukit Panjang MRT,1433,Bukit Panjang Plaza,1165,Zhenghua Primary School,TRUE
807A CHOA CHU KANG AVE 1,1.37580546,103.7447935,Choa Chu Kang MRT,1478,Lot One,1443,Chua Chu Kang Primary School,TRUE
488D CHOA CHU KANG AVE 5,1.376422216,103.7405047,Choa Chu Kang MRT,1450,Lot One,1415,Chua Chu Kang Primary School,TRUE
722 CLEMENTI WEST ST 2,1.302913593,103.7637596,Clementi MRT,1845,West Coast Plaza,462,Qifa Primary School,FALSE
440C CLEMENTI AVE 3,1.316633716,103.7639341,Clementi MRT,280,The Clementi Mall,345,Nan Hua Primary School,TRUE
18D CIRCUIT RD,1.329404348,103.889197,MacPherson MRT,374,Paya Lebar Square,1630,Maha Bodhi School,FALSE
350 UBI AVE 1,1.325804085,103.9012924,Ubi MRT,829,Singpost Centre,2127,Maha Bodhi School,TRUE
104 ALJUNIED CRES,1.320068866,103.8828181,Aljunied MRT,638,Paya Lebar Square,1547,Geylang Methodist School (Primary),TRUE
17B CIRCUIT RD,1.329940023,103.8891891,MacPherson MRT,412,Paya Lebar Square,1668,Maha Bodhi School,FALSE
17A CIRCUIT RD,1.329892021,103.8881129,MacPherson MRT,596,Paya Lebar Square,1851,Geylang Methodist School (Primary),FALSE
647 HOUGANG AVE 8,1.37196976,103.8803846,Hougang MRT,1728,Hougang 1,743,Xinmin Primary School,TRUE
64 JLN MA'MOR,1.328532349,103.8578525,Boon Keng MRT,1407,The Poiz Centre,2499,Hong Wen School,TRUE
58 GEYLANG BAHRU,1.323195373,103.8679572,Geylang Bahru MRT,602,The Poiz Centre,1393,St. Joseph's Institution Junior,TRUE
19 ST. GEORGE'S RD,1.324445542,103.8626105,Boon Keng MRT,663,The Poiz Centre,1678,Hong Wen School,TRUE
536 PASIR RIS DR 1,1.370631438,103.9498276,Pasir Ris MRT,365,Downtown East,1273,Elias Park Primary School,TRUE
