Address,Lat,Long,Nearest MRT,Distance to MRT,Nearest Mall,Distance to Mall,Nearest Pri Sch,Within 1km of Pri
101 ANG MO KIO AVE 3,1.370261584,103.8394679,Mayflower MRT,493,Jubilee Square,1272,CHIJ St. Nicholas Girls' School,TRUE
430 ANG MO KIO AVE 3,1.368992878,103.8527613,Ang Mo Kio MRT,484,AMK Hub,632,Jing Shan Primary School,TRUE
520 ANG MO KIO AVE 5,1.373405406,103.8511342,Ang Mo Kio MRT,873,Jubilee Square,916,Jing Shan Primary School,TRUE
716 ANG MO KIO AVE 6,1.371477831,103.8458688,Ang Mo Kio MRT,618,Jubilee Square,311,Jing Shan Primary School,TRUE
588A ANG MO KIO ST 52,1.372076889,103.8527861,Ang Mo Kio MRT,814,Jubilee Square,902,Jing Shan Primary School,TRUE
310A ANG MO KIO AVE 1,1.364812552,103.8438442,Ang Mo Kio MRT,1224,AMK Hub,1065,Teck Ghee Primary School,TRUE
613 ANG MO KIO AVE 4,1.378456616,103.8392927,Yio Chu Kang MRT,1091,Jubilee Square,1801,Anderson Primary School,TRUE
101 BEDOK NTH AVE 4,1.334484667,103.9379247,Bedok Reservoir MRT,830,Bedok Mall,1937,Red Swastika School,TRUE
548 BEDOK NTH AVE 1,1.331310218,103.9268539,Bedok Reservoir MRT,1337,Bedok Mall,1035,Fengshan Primary School,TRUE
75 BEDOK NTH RD,1.327914779,103.9421444,Tanah Merah MRT,718,Bedok Mall,1692,Red Swastika School,FALSE
550 BEDOK NTH AVE 1,1.33269318,103.9266174,Bedok Reservoir MRT,1180,Bedok Mall,1181,Yu Neng Primary School,TRUE
1 BEDOK STH AVE 1,1.320852087,103.9337211,Bedok MRT,959,Bedok Mall,897,Fengshan Primary School,FALSE
151 BEDOK RESERVOIR RD,1.335576195,103.9115458,Kaki Bukit MRT,448,Bedok Mall,2889,Maha Bodhi School,FALSE
54 CHAI CHEE ST,1.329478409,103.9211051,Bedok North MRT,1303,Bedok Mall,1323,Fengshan Primary School,FALSE
50 CHAI CHEE ST,1.329304314,103.9224158,Bedok North MRT,1249,Bedok Mall,1135,Fengshan Primary School,FALSE
105 BEDOK RESERVOIR RD,1.329144379,103.9091128,Kaki Bukit MRT,935,Singpost Centre,3177,Maha Bodhi School,TRUE
528 BEDOK NTH ST 3,1.334902876,103.9278382,Bedok Reservoir MRT,923,Bedok Mall,1441,Yu Neng Primary School,TRUE
534 BEDOK NTH ST 3,1.333036982,103.9248122,Bedok North MRT,1012,Bedok Mall,1294,Yu Neng Primary School,TRUE
77 BEDOK NTH RD,1.328696112,103.9419956,Tanah Merah MRT,775,Bedok Mall,1755,Red Swastika School,FALSE
116 BEDOK RESERVOIR RD,1.331037846,103.9086416,Kaki Bukit MRT,626,Singpost Centre,3095,Maha Bodhi School,TRUE
18 BEDOK STH RD,1.320625049,103.9347342,Bedok MRT,1098,Bedok Mall,1036,Fengshan Primary School,FALSE
40 CHAI CHEE AVE,1.326043353,103.9264885,Bedok MRT,619,Bedok Mall,468,Fengshan Primary School,TRUE
57 NEW UPP CHANGI RD,1.324245542,103.9415687,Tanah Merah MRT,772,Bedok Mall,1549,Temasek Primary School,TRUE
105 BEDOK NTH AVE 4,1.333722809,103.9365177,Bedok Reservoir MRT,929,Bedok Mall,1737,Red Swastika School,TRUE
709 BEDOK RESERVOIR RD,1.335416066,103.9223501,Bedok North MRT,772,Bedok Mall,1840,Yu Neng Primary School,FALSE
42 CHAI CHEE ST,1.327978774,103.9258048,Bedok MRT,903,Bedok Mall,750,Fengshan Primary School,TRUE
55 CHAI CHEE DR,1.326848469,103.9190156,Bedok North MRT,1770,Bedok Mall,1456,Fengshan Primary School,FALSE
2 BEDOK STH AVE 1,1.321301188,103.9332996,Bedok MRT,887,Bedok Mall,825,Fengshan Primary School,TRUE
37 CHAI CHEE AVE,1.325442004,103.9262076,Bedok MRT,609,Bedok Mall,458,Fengshan Primary School,TRUE
425 BEDOK NTH RD,1.329369602,103.9290675,Bedok MRT,886,Bedok Mall,730,Fengshan Primary School,TRUE
117 BEDOK NTH RD,1.330654548,103.9384963,Tanah Merah MRT,1382,Bedok Mall,1598,Red Swastika School,TRUE
423 BEDOK NTH AVE 1,1.327976141,103.9275651,Bedok MRT,811,Bedok Mall,654,Fengshan Primary School,TRUE
533 BEDOK NTH ST 3,1.333580162,103.9242187,Bedok North MRT,908,Bedok Mall,1419,Yu Neng Primary School,TRUE
149 BEDOK RESERVOIR RD,1.335769298,103.9127796,Kaki Bukit MRT,612,Bedok Mall,2737,Maha Bodhi School,FALSE
35 BEDOK STH AVE 2,1.322332207,103.9397662,Tanah Merah MRT,1181,Bedok Mall,1484,Temasek Primary School,TRUE
42 BEDOK STH RD,1.321478478,103.940721,Tanah Merah MRT,1225,Bedok Mall,1686,Temasek Primary School,TRUE
34 BEDOK STH AVE 2,1.322056529,103.9383547,Bedok MRT,1411,Bedok Mall,1349,Temasek Primary School,TRUE
7 BEDOK STH AVE 2,1.322815443,103.9354552,Bedok MRT,972,Bedok Mall,909,Fengshan Primary School,TRUE
8 BEDOK STH AVE 2,1.32284177,103.9360468,Bedok MRT,1036,Bedok Mall,974,Fengshan Primary School,TRUE
80 BEDOK NTH RD,1.32848132,103.9406116,Tanah Merah MRT,923,Bedok Mall,1605,Red Swastika School,TRUE
78 BEDOK NTH RD,1.327260072,103.9408488,Tanah Merah MRT,807,Bedok Mall,1554,Red Swastika School,FALSE
135 BEDOK RESERVOIR RD,1.333141064,103.9125235,Kaki Bukit MRT,716,Bedok Mall,2574,Maha Bodhi School,FALSE
148 BEDOK RESERVOIR RD,1.335340885,103.911905,Kaki Bukit MRT,523,Bedok Mall,2824,Maha Bodhi School,FALSE
81 BEDOK NTH RD,1.328915582,103.9405287,Tanah Merah MRT,983,Bedok Mall,1664,Red Swastika School,TRUE
142 BEDOK RESERVOIR RD,1.335636498,103.9132694,Bedok North MRT,653,Bedok Mall,2660,Maha Bodhi School,FALSE
124 BEDOK NTH RD,1.329258819,103.9390464,Tanah Merah MRT,1178,Bedok Mall,1598,Red Swastika School,TRUE
705 BEDOK NTH RD,1.336636818,103.9189953,Bedok North MRT,369,Bedok Mall,2238,Yu Neng Primary School,FALSE
554 BEDOK NTH ST 3,1.332627151,103.9281721,Bedok Reservoir MRT,1085,Bedok Mall,1139,Yu Neng Primary School,TRUE
602 BEDOK RESERVOIR RD,1.329348987,103.9115832,Kaki Bukit MRT,904,Bedok Mall,2634,Maha Bodhi School,FALSE
508 BEDOK NTH AVE 3,1.333400122,103.9325194,Bedok Reservoir MRT,705,Bedok Mall,1409,Yu Neng Primary School,TRUE
720 BEDOK RESERVOIR RD,1.335972774,103.924883,Bedok North MRT,1097,Bedok Mall,1624,Yu Neng Primary School,TRUE
765 BEDOK RESERVOIR VIEW,1.335961068,103.9359901,Bedok Reservoir MRT,508,Bedok Mall,2118,Red Swastika School,TRUE
10 CHAI CHEE RD,1.327275724,103.9248036,Bedok MRT,881,Bedok Mall,730,Fengshan Primary School,TRUE
185 BEDOK NTH RD,1.326237253,103.9408276,Tanah Merah MRT,762,Bedok Mall,1433,Temasek Primary School,FALSE
111 LENGKONG TIGA,1.324058778,103.9113038,Kembangan MRT,454,Singpost Centre,2573,Maha Bodhi School,FALSE
220B BEDOK CTRL,1.325477105,103.9343482,Bedok MRT,756,Bedok Mall,694,Fengshan Primary School,TRUE
603 BEDOK RESERVOIR RD,1.33000184,103.912464,Kaki Bukit MRT,943,Bedok Mall,2517,Maha Bodhi School,FALSE
21 CHAI CHEE RD,1.325778506,103.9224247,Bedok MRT,1066,Bedok Mall,988,Fengshan Primary School,FALSE
672 JLN DAMAI,1.33207913,103.9087571,Kaki Bukit MRT,459,Singpost Centre,3065,Maha Bodhi School,TRUE
415 BEDOK NTH AVE 2,1.329649995,103.9302606,Bedok MRT,903,Bedok Mall,779,Fengshan Primary School,TRUE
763 BEDOK RESERVOIR VIEW,1.336072095,103.9348306,Bedok Reservoir MRT,355,Bedok Mall,1965,Red Swastika School,TRUE
805 CHAI CHEE RD,1.324306049,103.9216254,Bedok MRT,1092,Bedok Mall,1129,Fengshan Primary School,FALSE
