Address,Lat,Long,Nearest MRT,Distance to MRT,Nearest Mall,Distance to Mall,Nearest Pri Sch,Within 1km of Pri
656A JURONG WEST ST 61,1.335368575,103.699358,Pioneer MRT,548,Jurong Point,1332,Frontier Primary School,TRUE
653A JURONG WEST ST 61,1.336891377,103.6966388,Pioneer MRT,184,Jurong Point,1499,Frontier Primary School,TRUE
610 JURONG WEST ST 65,1.338324534,103.7008562,Pioneer MRT,641,Jurong Point,984,Jurong West Primary School,TRUE
659B JURONG WEST ST 65,1.336907297,103.7019821,Boon Lay MRT,610,Jurong Point,1016,Frontier Primary School,TRUE
683C JURONG WEST ST 64,1.343334426,103.7047012,Boon Lay MRT,812,Jurong Point,667,Westwood Primary School,TRUE
517C JURONG WEST ST 52,1.344936308,103.7200246,Lakeside MRT,267,Jurong Point,1890,Rulang Primary School,TRUE
274A JURONG WEST AVE 3,1.352265053,103.703604,Boon Lay MRT,1963,Jurong Point,1771,Westwood Primary School,TRUE
906 JURONG WEST ST 91,1.341220505,103.6852284,Pioneer MRT,1786,Jurong Point,2947,Jurong West Primary School,FALSE
714 JURONG WEST ST 71,1.343120024,103.696675,Pioneer MRT,898,Jurong Point,1617,Jurong West Primary School,TRUE
671C JURONG WEST ST 65,1.343872989,103.7014299,Boon Lay MRT,1067,Jurong Point,1074,Westwood Primary School,TRUE
558 JURONG WEST ST 42,1.354198212,103.7173441,Lakeside MRT,1532,Jurong Point,2552,Rulang Primary School,TRUE
685A JURONG WEST ST 64,1.343258376,103.7041601,Boon Lay MRT,758,Jurong Point,695,Westwood Primary School,TRUE
628 JURONG WEST ST 65,1.342204167,103.6994476,Pioneer MRT,814,Jurong Point,1269,Jurong West Primary School,TRUE
609 JURONG WEST ST 65,1.337935868,103.7005865,Pioneer MRT,538,Jurong Point,1042,Frontier Primary School,TRUE
666B JURONG WEST ST 65,1.339614224,103.7019586,Boon Lay MRT,632,Jurong Point,755,Jurong West Primary School,TRUE
683A JURONG WEST CTRL 1,1.342609031,103.7048478,Boon Lay MRT,723,Jurong Point,553,Westwood Primary School,TRUE
7 JLN BATU,1.302370026,103.8835964,Mountbatten MRT,597,Kallang Wave Mall,1929,Kong Hwa School,FALSE
27 JLN BAHAGIA,1.326021022,103.858992,Boon Keng MRT,1090,The Poiz Centre,2181,Hong Wen School,TRUE
76 LOR LIMAU,1.325024279,103.8542321,Boon Keng MRT,1445,Square 2,1711,Hong Wen School,TRUE
3 ST. GEORGE'S RD,1.322587352,103.8611073,Boon Keng MRT,445,The Poiz Centre,1880,Hong Wen School,TRUE
67 KALLANG BAHRU,1.321394464,103.8693362,Geylang Bahru MRT,387,The Poiz Centre,1686,St. Joseph's Institution Junior,TRUE
49 DORSET RD,1.312957982,103.8501587,Farrer Park MRT,707,City Square Mall,1016,Anglo-Chinese School (Junior),FALSE
57 GEYLANG BAHRU,1.323537807,103.8691478,Geylang Bahru MRT,448,The Poiz Centre,1390,St. Joseph's Institution Junior,FALSE
30 BENDEMEER RD,1.319303367,103.8640498,Boon Keng MRT,414,Aperia Mall,1319,St. Joseph's Institution Junior,TRUE
6 JLN BATU,1.336016293,103.7878949,King Albert Park MRT,634,Kap Mall,1099,Pei Hwa Presbyterian Primary School,FALSE
74 WHAMPOA DR,1.324715797,103.8577529,Boon Keng MRT,902,The Poiz Centre,2362,Hong Wen School,TRUE
11 UPP BOON KENG RD,1.31423937,103.870914,Kallang MRT,395,Aperia Mall,1458,St. Joseph's Institution Junior,TRUE
93 GEYLANG BAHRU,1.322188988,103.871612,Geylang Bahru MRT,149,The Poiz Centre,1673,St. Joseph's Institution Junior,FALSE
685 RACE COURSE RD,1.314005835,103.8568313,Farrer Park MRT,343,City Square Mall,351,St. Joseph's Institution Junior,TRUE
46 OWEN RD,1.315140198,103.8507984,Farrer Park MRT,622,City Square Mall,931,Hong Wen School,FALSE
16 UPP BOON KENG RD,1.315431758,103.8716516,Kallang MRT,671,Aperia Mall,1733,St. Joseph's Institution Junior,FALSE
468 NTH BRIDGE RD,1.305391507,103.8632222,Lavender MRT,357,Aperia Mall,685,St. Joseph's Institution Junior,FALSE
107 TOWNER RD,1.319795086,103.8604358,Boon Keng MRT,276,City Square Mall,1219,Hong Wen School,TRUE
105 TOWNER RD,1.320813043,103.8613467,Boon Keng MRT,214,Aperia Mall,1553,Hong Wen School,TRUE
12 FARRER PK RD,1.311981131,103.8516385,Farrer Park MRT,560,City Square Mall,806,Anglo-Chinese School (Junior),FALSE
5A UPP BOON KENG RD,1.31327536,103.8734891,Kallang MRT,380,Aperia Mall,1410,Geylang Methodist School (Primary),FALSE
95 WHAMPOA DR,1.322192178,103.8561985,Boon Keng MRT,964,City Square Mall,1625,Hong Wen School,TRUE
123 MCNAIR RD,1.318442335,103.8563499,Farrer Park MRT,816,City Square Mall,1069,Hong Wen School,TRUE
18 JLN TENTERAM,1.327827687,103.8600807,Boon Keng MRT,1285,The Poiz Centre,2376,Hong Wen School,TRUE
38C BENDEMEER RD,1.321120278,103.8667869,Geylang Bahru MRT,690,The Poiz Centre,1640,St. Joseph's Institution Junior,TRUE
3C UPP BOON KENG RD,1.313793188,103.8730939,Kallang MRT,461,Aperia Mall,1491,St. Joseph's Institution Junior,FALSE
38D BENDEMEER RD,1.32163647,103.8667673,Geylang Bahru MRT,778,The Poiz Centre,1552,St. Joseph's Institution Junior,TRUE
108B MCNAIR RD,1.319981244,103.8590051,Boon Keng MRT,494,City Square Mall,1270,Hong Wen School,TRUE
21 ST. GEORGE'S RD,1.324786153,103.8621944,Boon Keng MRT,734,The Poiz Centre,1656,Hong Wen School,TRUE
48A DORSET RD,1.314477856,103.8510724,Farrer Park MRT,599,City Square Mall,908,Hong Wen School,FALSE
55 GEYLANG BAHRU,1.324084641,103.8685905,Geylang Bahru MRT,536,The Poiz Centre,1290,St. Joseph's Institution Junior,FALSE
59B GEYLANG BAHRU,1.322126054,103.8679955,Geylang Bahru MRT,576,The Poiz Centre,1629,St. Joseph's Institution Junior,TRUE
9 BOON KENG RD,1.316051181,103.8612187,Bendemeer MRT,496,Aperia Mall,892,St. Joseph's Institution Junior,TRUE
7 BOON KENG RD,1.316789225,103.8617819,Boon Keng MRT,492,Aperia Mall,990,St. Joseph's Institution Junior,TRUE
105 JLN RAJAH,1.3285791,103.8538725,Toa Payoh MRT,1231,Square 2,1796,Hong Wen School,TRUE
66 MARINE DR,1.30391193,103.9097405,Marine Parade MRT,698,Parkway Parade,778,Ngee Ann Primary School,TRUE
32 MARINE CRES,1.303178277,103.9118066,Marine Terrace MRT,661,Parkway Parade,1139,Ngee Ann Primary School,TRUE
55 MARINE TER,1.305423685,103.9140048,Marine Terrace MRT,252,Parkway Parade,1402,Ngee Ann Primary School,TRUE
62 MARINE DR,1.302670233,103.9090404,Marine Parade MRT,623,Parkway Parade,560,Ngee Ann Primary School,TRUE
5 CHANGI VILLAGE RD,1.3888534,103.986846,Pasir Ris MRT,6170,Downtown East,5294,Pasir Ris Primary School,FALSE
753 PASIR RIS ST 71,1.377156177,103.9344823,Pasir Ris MRT,2145,Downtown East,2966,Elias Park Primary School,FALSE
743 PASIR RIS ST 71,1.377295646,103.9355644,Pasir Ris MRT,1963,Downtown East,2784,Elias Park Primary School,FALSE
109 PASIR RIS ST 11,1.36846368,103.9560091,Pasir Ris MRT,1167,White Sands,823,White Sands Primary School,TRUE
632 PASIR RIS DR 3,1.378639617,103.9398539,Pasir Ris MRT,1638,Downtown East,2118,Elias Park Primary School,TRUE
742 PASIR RIS ST 71,1.376955021,103.9359424,Pasir Ris MRT,1918,Downtown East,2739,Elias Park Primary School,FALSE
473 PASIR RIS DR 6,1.374495021,103.9573625,Pasir Ris MRT,1188,Downtown East,313,Pasir Ris Primary School,TRUE
121 PASIR RIS ST 11,1.366869547,103.9545047,Pasir Ris MRT,1199,White Sands,1092,White Sands Primary School,TRUE
773 PASIR RIS ST 71,1.374788436,103.9363539,Pasir Ris MRT,1974,Downtown East,2816,Elias Park Primary School,TRUE
474 PASIR RIS DR 6,1.374741403,103.9566217,Pasir Ris MRT,1090,Downtown East,215,Pasir Ris Primary School,TRUE
124 PASIR RIS ST 11,1.365820302,103.9543083,Pasir Ris MRT,1401,White Sands,1103,White Sands Primary School,TRUE
215 PASIR RIS ST 21,1.368162699,103.9618033,Pasir Ris MRT,1852,White Sands,378,White Sands Primary School,TRUE
484 PASIR RIS DR 4,1.373603458,103.9605578,Pasir Ris MRT,1633,Downtown East,758,Pasir Ris Primary School,TRUE
185 PASIR RIS ST 11,1.365613501,103.9600441,Tampines MRT,1952,White Sands,281,White Sands Primary School,TRUE
570 PASIR RIS ST 53,1.372769056,103.9465105,Pasir Ris MRT,595,Downtown East,1560,Elias Park Primary School,TRUE
701 PASIR RIS DR 10,1.379965919,103.9379322,Pasir Ris MRT,1916,Downtown East,2396,Elias Park Primary School,TRUE
416 PASIR RIS DR 6,1.371636601,103.9556207,Pasir Ris MRT,1212,Downtown East,592,Pasir Ris Primary School,TRUE
519 PASIR RIS ST 52,1.374063065,103.9451222,Pasir Ris MRT,658,Downtown East,1447,Elias Park Primary School,TRUE
198 PASIR RIS ST 12,1.366972563,103.9600092,Tampines MRT,2064,White Sands,282,White Sands Primary School,TRUE
564 PASIR RIS ST 51,1.368484411,103.9498221,Pasir Ris MRT,650,Downtown East,1570,Elias Park Primary School,TRUE
231 PASIR RIS DR 4,1.373379907,103.9614018,Pasir Ris MRT,1755,Downtown East,879,Pasir Ris Primary School,TRUE
720 PASIR RIS ST 72,1.381785964,103.9364118,Pasir Ris MRT,2145,Downtown East,2622,Elias Park Primary School,FALSE
747 PASIR RIS ST 71,1.379220826,103.9345558,Pasir Ris MRT,2087,Downtown East,2898,Elias Park Primary School,FALSE
520 PASIR RIS ST 52,1.373432536,103.9447563,Pasir Ris MRT,737,Downtown East,1527,Elias Park Primary School,TRUE
515 PASIR RIS ST 52,1.374144156,103.9429572,Pasir Ris MRT,950,Downtown East,1745,Elias Park Primary School,TRUE
633 PASIR RIS DR 3,1.378009451,103.9406866,Pasir Ris MRT,1551,Downtown East,2083,Elias Park Primary School,TRUE
199 PASIR RIS ST 12,1.367342674,103.959676,Pasir Ris MRT,1571,White Sands,335,White Sands Primary School,TRUE
553 PASIR RIS ST 51,1.367975437,103.9527692,Pasir Ris MRT,906,White Sands,1438,White Sands Primary School,TRUE
514 PASIR RIS ST 52,1.374601295,103.9431393,Pasir Ris MRT,961,Downtown East,1728,Elias Park Primary School,TRUE
419 PASIR RIS DR 6,1.371523854,103.9547531,Pasir Ris MRT,1101,Downtown East,778,Pasir Ris Primary School,TRUE
239 PASIR RIS ST 21,1.373193235,103.9633846,Pasir Ris MRT,1962,White Sands,1103,Pasir Ris Primary School,TRUE
116 PASIR RIS ST 11,1.36840453,103.9544838,Pasir Ris MRT,1011,White Sands,1013,White Sands Primary School,TRUE
237 PASIR RIS ST 21,1.374079169,103.9628679,Pasir Ris MRT,1810,Downtown East,934,Pasir Ris Primary School,TRUE
108 PASIR RIS ST 12,1.367478779,103.9570177,Pasir Ris MRT,1366,White Sands,705,White Sands Primary School,TRUE
531 PASIR RIS DR 1,1.371361579,103.9503984,Pasir Ris MRT,498,Downtown East,1406,Elias Park Primary School,TRUE
203B PUNGGOL FIELD,1.398048415,103.9034765,Sengkang MRT,1464,Rivervale Mall,857,Rivervale Primary School,TRUE
132 EDGEDALE PLAINS,1.393069499,103.9106985,Sengkang MRT,2482,Rivervale Mall,1274,Mee Toh School,TRUE
128A PUNGGOL FIELD WALK,1.393542263,103.9124285,Sengkang MRT,2679,Rivervale Mall,1471,Mee Toh School,TRUE
106B PUNGGOL FIELD,1.397094532,103.9079554,Sengkang MRT,2172,Rivervale Mall,1354,Mee Toh School,TRUE
614A EDGEFIELD PLAINS,1.403584212,103.9092641,Punggol MRT,1496,Waterway Point,1351,Oasis Primary School,TRUE
195E PUNGGOL RD,1.401717992,103.9071773,Punggol MRT,1738,Waterway Point,971,Oasis Primary School,TRUE
168B PUNGGOL EAST,1.394496029,103.913979,Sengkang MRT,3069,Rivervale Mall,2117,Horizon Primary School,TRUE
270A PUNGGOL FIELD,1.403979501,103.8994549,Sengkang MRT,1989,Waterway Point,693,Punggol Green Primary School,TRUE
195D PUNGGOL RD,1.401367945,103.907096,Punggol MRT,1729,Waterway Point,962,Oasis Primary School,TRUE
613A PUNGGOL DR,1.40442052,103.907861,Punggol MRT,1591,Waterway Point,1446,Oasis Primary School,TRUE
615B EDGEFIELD PLAINS,1.403745871,103.9098829,Punggol MRT,1513,Waterway Point,1367,Oasis Primary School,TRUE
293 PUNGGOL CTRL,1.403075573,103.9049453,Punggol MRT,1740,Waterway Point,734,Punggol Green Primary School,TRUE
602A PUNGGOL CTRL,1.403480538,103.9071174,Punggol MRT,1596,Waterway Point,895,Oasis Primary School,TRUE
613D PUNGGOL DR,1.403824351,103.9089093,Punggol MRT,1471,Waterway Point,1326,Oasis Primary School,TRUE
269C PUNGGOL FIELD,1.403652033,103.8985316,Sengkang MRT,1756,Waterway Point,943,Punggol Green Primary School,TRUE
601A PUNGGOL CTRL,1.402468466,103.9075822,Punggol MRT,1629,Waterway Point,874,Oasis Primary School,TRUE
614B EDGEFIELD PLAINS,1.402903237,103.9100575,Punggol MRT,1661,Waterway Point,1322,Oasis Primary School,TRUE
601C PUNGGOL CTRL,1.40267897,103.9081061,Punggol MRT,1672,Waterway Point,972,Oasis Primary School,TRUE
268D PUNGGOL FIELD,1.403313781,103.8983589,Sengkang MRT,1718,Waterway Point,905,Punggol Green Primary School,TRUE
305D PUNGGOL DR,1.405832084,103.906791,Punggol MRT,1200,Waterway Point,918,Oasis Primary School,TRUE
289B PUNGGOL PL,1.401343561,103.903127,Sengkang MRT,2089,Waterway Point,966,Punggol Green Primary School,TRUE
289A PUNGGOL PL,1.40157247,103.9026191,Sengkang MRT,2113,Waterway Point,758,Punggol Green Primary School,TRUE
274C PUNGGOL PL,1.403258431,103.9020087,Sengkang MRT,2385,Waterway Point,622,Punggol Green Primary School,TRUE
269B PUNGGOL FIELD,1.403443932,103.8986665,Sengkang MRT,1728,Waterway Point,916,Punggol Green Primary School,TRUE
302A PUNGGOL PL,1.404423566,103.9044442,Punggol MRT,1756,Waterway Point,448,Valour Primary School,TRUE
172C EDGEDALE PLAINS,1.395444577,103.9124654,Sengkang MRT,2897,Rivervale Mall,1689,Mee Toh School,TRUE
637A PUNGGOL DR,1.399693672,103.914597,Punggol MRT,2240,Rivervale Mall,1913,Horizon Primary School,TRUE
118 EDGEFIELD PLAINS,1.396207066,103.9061471,Sengkang MRT,1804,Rivervale Mall,986,Mee Toh School,TRUE
161B PUNGGOL CTRL,1.39572273,103.915306,Punggol MRT,2901,Rivervale Mall,2009,Horizon Primary School,TRUE
105A EDGEFIELD PLAINS,1.396941332,103.9057295,Sengkang MRT,1823,Rivervale Mall,1005,Mee Toh School,TRUE
106A PUNGGOL FIELD,1.396604861,103.9083441,Sengkang MRT,2240,Rivervale Mall,1422,Mee Toh School,TRUE
102C PUNGGOL FIELD,1.398761278,103.904939,Sengkang MRT,1770,Rivervale Mall,1109,Rivervale Primary School,TRUE
196C PUNGGOL FIELD,1.399279585,103.9074976,Sengkang MRT,2152,Rivervale Mall,1334,Mee Toh School,TRUE
104B EDGEFIELD PLAINS,1.396608862,103.9053038,Sengkang MRT,1944,Rivervale Mall,1126,Rivervale Primary School,TRUE
199B PUNGGOL FIELD,1.39996998,103.9057512,Sengkang MRT,1904,Waterway Point,1156,Mee Toh School,TRUE
201A PUNGGOL FIELD,1.400085464,103.9035356,Sengkang MRT,1887,Waterway Point,1032,Punggol Green Primary School,TRUE
171C EDGEDALE PLAINS,1.394775289,103.9134368,Sengkang MRT,3205,Rivervale Mall,2253,Horizon Primary School,TRUE
166B PUNGGOL CTRL,1.394578126,103.915235,Sengkang MRT,2976,Rivervale Mall,2023,Horizon Primary School,TRUE
163A PUNGGOL CTRL,1.395500602,103.9140598,Sengkang MRT,3034,Rivervale Mall,1826,Horizon Primary School,TRUE
617C PUNGGOL DR,1.40194562,103.9124567,Punggol MRT,1851,Waterway Point,1644,Horizon Primary School,TRUE
295 PUNGGOL CTRL,1.401886208,103.9049173,Sengkang MRT,2350,Waterway Point,876,Punggol Green Primary School,TRUE
617B PUNGGOL DR,1.40215673,103.9121478,Punggol MRT,1851,Waterway Point,1592,Oasis Primary School,TRUE
299 PUNGGOL CTRL,1.402706152,103.9053082,Punggol MRT,1715,Waterway Point,772,Oasis Primary School,TRUE
270B PUNGGOL FIELD,1.404108025,103.8990319,Sengkang MRT,1953,Waterway Point,674,Punggol Green Primary School,TRUE
273C PUNGGOL PL,1.402303014,103.9012624,Sengkang MRT,2077,Waterway Point,627,Punggol Green Primary School,TRUE
268A PUNGGOL FIELD,1.404111506,103.8973989,Sengkang MRT,1870,Waterway Point,891,Punggol Green Primary School,TRUE
267B PUNGGOL FIELD,1.404432739,103.8979324,Sengkang MRT,1820,Waterway Point,811,Valour Primary School,TRUE
270C PUNGGOL FIELD,1.404315452,103.8988518,Sengkang MRT,1911,Waterway Point,697,Punggol Green Primary School,TRUE
83 C'WEALTH CL,1.304678661,103.8004236,Commonwealth MRT,552,The Star Vista,1888,Fairfield Methodist School (Primary),FALSE
171 STIRLING RD,1.290732462,103.8038469,Queenstown MRT,603,Anchorpoint,645,Alexandra Primary School,FALSE
153 MEI LING ST,1.293814453,103.8031379,Queenstown MRT,505,Anchorpoint,1094,Fairfield Methodist School (Primary),FALSE
81 C'WEALTH CL,1.303787444,103.8003853,Commonwealth MRT,470,The Star Vista,1912,Fairfield Methodist School (Primary),FALSE
169 STIRLING RD,1.290434865,103.8031059,Queenstown MRT,694,Anchorpoint,650,Fairfield Methodist School (Primary),FALSE
109 C'WEALTH CRES,1.307249431,103.7989383,Commonwealth MRT,714,The Star Vista,1650,Fairfield Methodist School (Primary),FALSE
94 C'WEALTH DR,1.305586163,103.8007436,Commonwealth MRT,623,The Star Vista,1882,Fairfield Methodist School (Primary),FALSE
111 C'WEALTH CRES,1.306352033,103.7984662,Commonwealth MRT,628,The Star Vista,1622,Fairfield Methodist School (Primary),FALSE
82 C'WEALTH CL,1.304220501,103.8004002,Commonwealth MRT,547,The Star Vista,1848,Fairfield Methodist School (Primary),FALSE
3 GHIM MOH RD,1.311998913,103.7871897,Buona Vista MRT,996,The Star Vista,1093,Henry Park Primary School,TRUE
1 DOVER RD,1.302529947,103.7832717,one-north MRT,829,The Star Vista,1214,Fairfield Methodist School (Primary),TRUE
170 STIRLING RD,1.290909181,103.8031076,Queenstown MRT,655,Anchorpoint,690,Fairfield Methodist School (Primary),FALSE
1 GHIM MOH RD,1.312879757,103.786855,Buona Vista MRT,1111,The Star Vista,1208,Henry Park Primary School,TRUE
6 GHIM MOH RD,1.31228409,103.7884039,Buona Vista MRT,870,The Star Vista,1113,Henry Park Primary School,TRUE
8 HOLLAND AVE,1.306514064,103.794223,Buona Vista MRT,636,The Star Vista,928,Fairfield Methodist School (Primary),FALSE
86 C'WEALTH CL,1.304384257,103.7993498,Commonwealth MRT,428,The Star Vista,1688,Fairfield Methodist School (Primary),FALSE
60 STRATHMORE AVE,1.293085872,103.8118849,Redhill MRT,862,Anchorpoint,1013,Alexandra Primary School,FALSE
11 HOLLAND DR,1.314190899,103.7827197,Dover MRT,2540,The Star Vista,1822,Henry Park Primary School,TRUE
2 HOLLAND AVE,1.309344983,103.7955594,Holland Village MRT,367,The Star Vista,1221,Fairfield Methodist School (Primary),FALSE
23 GHIM MOH LINK,1.308635628,103.786332,Buona Vista MRT,754,The Star Vista,615,Fairfield Methodist School (Primary),TRUE
52 STRATHMORE AVE,1.293313145,103.8082534,Queenstown MRT,293,Anchorpoint,650,Alexandra Primary School,FALSE
130 CLARENCE LANE,1.292721267,103.8148357,Redhill MRT,508,Anchorpoint,1347,Alexandra Primary School,FALSE
7 GHIM MOH RD,1.311288236,103.7872306,Buona Vista MRT,889,The Star Vista,915,Henry Park Primary School,TRUE
21 HOLLAND DR,1.310976125,103.7923799,Holland Village MRT,768,The Star Vista,1012,Henry Park Primary School,FALSE
18 DOVER CRES,1.308083436,103.7830572,Dover MRT,757,The Star Vista,951,Fairfield Methodist School (Primary),TRUE
477 SEMBAWANG DR,1.452084619,103.8165542,Sembawang MRT,851,Sun Plaza,830,Canberra Primary School,TRUE
322 SEMBAWANG CL,1.445559889,103.8182964,Sembawang MRT,558,Sun Plaza,385,Sembawang Primary School,TRUE
335 SEMBAWANG CL,1.447163473,103.8150135,Sembawang MRT,780,Sun Plaza,759,Canberra Primary School,TRUE
504B MONTREAL DR,1.45088208,103.8233257,Sembawang MRT,549,Sun Plaza,829,Wellington Primary School,TRUE
489 ADMIRALTY LINK,1.454951192,103.8168198,Sembawang MRT,1016,Sun Plaza,995,Canberra Primary School,TRUE
467 ADMIRALTY DR,1.452226677,103.8144259,Sembawang MRT,1060,Sun Plaza,1039,Canberra Primary School,TRUE
413 SEMBAWANG DR,1.451770422,103.8179475,Sembawang MRT,586,Sun Plaza,565,Canberra Primary School,TRUE
357 ADMIRALTY DR,1.450036033,103.8164351,Sembawang MRT,522,Sun Plaza,501,Canberra Primary School,TRUE
341 SEMBAWANG CL,1.447068078,103.8186776,Sembawang MRT,387,Sun Plaza,214,Sembawang Primary School,TRUE
327 SEMBAWANG CRES,1.445663823,103.8190221,Sembawang MRT,524,Sun Plaza,334,Sembawang Primary School,TRUE
420 CANBERRA RD,1.452679747,103.8188889,Sembawang MRT,681,Sun Plaza,755,Canberra Primary School,TRUE
338 SEMBAWANG CRES,1.445774761,103.8153163,Sembawang MRT,882,Sun Plaza,844,Canberra Primary School,TRUE
334 SEMBAWANG CL,1.447328282,103.8158201,Sembawang MRT,611,Sun Plaza,590,Canberra Primary School,TRUE
357A ADMIRALTY DR,1.450043994,103.8170033,Sembawang MRT,510,Sun Plaza,489,Canberra Primary School,TRUE
353B ADMIRALTY DR,1.450165067,103.8193068,Sembawang MRT,263,Sun Plaza,429,Wellington Primary School,TRUE
311 CANBERRA RD,1.446318068,103.8225383,Sembawang MRT,883,Sun Plaza,669,Sembawang Primary School,TRUE
351B CANBERRA RD,1.450860772,103.8199728,Sembawang MRT,278,Sun Plaza,532,Wellington Primary School,TRUE
589A MONTREAL DR,1.449701615,103.8257671,Sembawang MRT,791,Sun Plaza,1071,Wellington Primary School,TRUE
351C CANBERRA RD,1.451335115,103.8197671,Sembawang MRT,358,Sun Plaza,571,Wellington Primary School,TRUE
303 CANBERRA RD,1.444689924,103.8224416,Sembawang MRT,871,Sun Plaza,658,Sembawang Primary School,TRUE
588B MONTREAL DR,1.45043745,103.8251354,Sembawang MRT,756,Sun Plaza,1035,Wellington Primary School,TRUE
333 SEMBAWANG CL,1.446990209,103.8164162,Sembawang MRT,672,Sun Plaza,616,Canberra Primary School,TRUE
337 SEMBAWANG CRES,1.446150969,103.815652,Sembawang MRT,790,Sun Plaza,769,Canberra Primary School,TRUE
441B FERNVALE RD,1.391210381,103.8746889,Buangkok MRT,2735,The Seletar Mall,275,Fernvale Primary School,TRUE
441A FERNVALE RD,1.391097836,103.8751662,Buangkok MRT,2648,The Seletar Mall,189,Fernvale Primary School,TRUE
445B FERNVALE RD,1.392247162,103.8740951,Buangkok MRT,2857,The Seletar Mall,393,Sengkang Green Primary School,TRUE
445A FERNVALE RD,1.392220138,103.8744098,Buangkok MRT,2828,The Seletar Mall,364,Sengkang Green Primary School,TRUE
211D COMPASSVALE LANE,1.385521721,103.8998663,Buangkok MRT,1169,Compass One,1258,Punggol Primary School,TRUE
211C COMPASSVALE LANE,1.385144912,103.8992912,Buangkok MRT,1078,Compass One,1298,Punggol Primary School,TRUE
308C ANCHORVALE RD,1.389227472,103.8868447,Buangkok MRT,1281,Compass One,1277,Nan Chiau Primary School,TRUE
124B RIVERVALE DR,1.38829484,103.9031585,Sengkang MRT,1215,Rivervale Mall,741,Rivervale Primary School,TRUE
185C RIVERVALE CRES,1.393173695,103.9064944,Sengkang MRT,1602,Rivervale Mall,325,Rivervale Primary School,TRUE
184C RIVERVALE CRES,1.3926658,103.9077167,Sengkang MRT,1776,Rivervale Mall,498,Mee Toh School,TRUE
324D SENGKANG EAST WAY,1.392844389,103.8913469,Sengkang MRT,669,Compass One,662,Nan Chiau Primary School,TRUE
183D RIVERVALE CRES,1.391450411,103.9087431,Sengkang MRT,1930,Rivervale Mall,653,Mee Toh School,TRUE
131 RIVERVALE ST,1.389344248,103.9030816,Sengkang MRT,1124,Rivervale Mall,560,Rivervale Primary School,TRUE
158C RIVERVALE CRES,1.38818826,103.9071458,Sengkang MRT,1577,Rivervale Mall,698,Rivervale Primary School,TRUE
130 RIVERVALE ST,1.389445039,103.9026532,Sengkang MRT,1069,Rivervale Mall,590,Rivervale Primary School,TRUE
108 RIVERVALE WALK,1.382811686,103.8997829,Buangkok MRT,1172,Compass One,1584,Punggol Primary School,TRUE
121 RIVERVALE DR,1.387007272,103.9047887,Sengkang MRT,1613,Rivervale Mall,778,Rivervale Primary School,TRUE
404A FERNVALE LANE,1.388348217,103.8738149,Buangkok MRT,2972,The Seletar Mall,582,Fernvale Primary School,TRUE
303C ANCHORVALE LINK,1.387597938,103.8902203,Buangkok MRT,821,Compass One,999,Nan Chiau Primary School,TRUE
128 RIVERVALE ST,1.390490496,103.9026885,Sengkang MRT,968,Rivervale Mall,494,Rivervale Primary School,TRUE
257A COMPASSVALE RD,1.392386288,103.8976478,Sengkang MRT,351,Compass One,402,Compassvale Primary School,TRUE
123D RIVERVALE DR,1.386844965,103.9021921,Sengkang MRT,1261,Rivervale Mall,915,Rivervale Primary School,TRUE
296C COMPASSVALE CRES,1.397311291,103.8997478,Sengkang MRT,1023,Rivervale Mall,1029,Compassvale Primary School,TRUE
195 RIVERVALE DR,1.392824178,103.9024002,Sengkang MRT,1131,Rivervale Mall,352,Rivervale Primary School,TRUE
211A COMPASSVALE LANE,1.384655687,103.8992574,Buangkok MRT,1074,Compass One,1349,Punggol Primary School,TRUE
446C JLN KAYU,1.392284488,103.8735796,Buangkok MRT,2912,The Seletar Mall,448,Sengkang Green Primary School,TRUE
235 COMPASSVALE WALK,1.390900096,103.8995365,Sengkang MRT,627,Compass One,678,Compassvale Primary School,TRUE
201C COMPASSVALE DR,1.387725134,103.8935077,Buangkok MRT,509,Compass One,651,Nan Chiau Primary School,TRUE
208A COMPASSVALE LANE,1.384463641,103.8984914,Buangkok MRT,985,Compass One,1364,Punggol Primary School,TRUE
224D COMPASSVALE WALK,1.388548954,103.8984882,Sengkang MRT,653,Compass One,720,Compassvale Primary School,TRUE
238 COMPASSVALE WALK,1.390440058,103.898664,Sengkang MRT,575,Compass One,626,Compassvale Primary School,TRUE
434A FERNVALE RD,1.394373666,103.8763224,Sengkang MRT,2480,The Seletar Mall,386,Sengkang Green Primary School,TRUE
410B FERNVALE RD,1.389789389,103.8760967,Buangkok MRT,2613,The Seletar Mall,273,Fernvale Primary School,TRUE
269A COMPASSVALE LINK,1.383715005,103.895589,Buangkok MRT,470,Compass One,1222,Punggol Primary School,TRUE
210C COMPASSVALE LANE,1.384241559,103.8995422,Buangkok MRT,1111,Compass One,1448,Punggol Primary School,TRUE
213B COMPASSVALE LANE,1.385539436,103.9007808,Buangkok MRT,1325,Rivervale Mall,1149,Rivervale Primary School,TRUE
436B FERNVALE RD,1.39287836,103.8769757,Buangkok MRT,2472,The Seletar Mall,257,Sengkang Green Primary School,TRUE
411B FERNVALE RD,1.390162618,103.8770562,Buangkok MRT,2474,The Seletar Mall,396,Fernvale Primary School,TRUE
212B COMPASSVALE DR,1.386185145,103.9005512,Sengkang MRT,1150,Rivervale Mall,1186,Rivervale Primary School,TRUE
